engagement_id,player_id,week_start_date,total_play_hours,total_sessions,favorite_genre,multiplayer_hours,store_visits,ps_plus_tier,engagement_band
ENG-000021,PLAYER003,2024-04-08,7.75,4,Puzzle,3.66,10,Extra,LOW
ENG-000022,PLAYER003,2024-04-15,8.18,5,Puzzle,2.46,10,Extra,LOW
ENG-000023,PLAYER003,2024-04-22,10.98,13,Fighting,2.49,0,Extra,MEDIUM
ENG-000024,PLAYER003,2024-04-29,8.40,10,Racing,3.72,1,Extra,LOW
ENG-000025,PLAYER003,2024-05-06,4.99,6,Action-RPG,3.06,6,Extra,LOW
ENG-000026,PLAYER003,2024-05-13,10.84,8,Action-RPG,8.01,1,Extra,MEDIUM
ENG-000027,PLAYER003,2024-05-20,5.26,4,Action-RPG,1.99,11,Extra,LOW
ENG-000028,PLAYER003,2024-05-27,7.68,5,Fighting,5.28,10,Extra,LOW
ENG-000029,PLAYER003,2024-06-03,12.47,12,FPS,9.95,1,Extra,MEDIUM
ENG-000030,PLAYER003,2024-06-10,4.16,4,FPS,1.54,5,Extra,LOW
ENG-000031,PLAYER004,2024-04-08,16.12,11,Action-Adventure,11.29,4,Extra,MEDIUM
ENG-000032,PLAYER004,2024-04-15,11.06,11,Sports,8.61,8,Extra,MEDIUM
ENG-000033,PLAYER004,2024-04-22,18.99,12,Sports,14.62,12,Extra,HIGH
ENG-000034,PLAYER004,2024-04-29,21.25,18,Puzzle,12.56,0,Extra,HIGH
ENG-000035,PLAYER004,2024-05-06,13.34,13,Action-RPG,3.20,6,Extra,MEDIUM
ENG-000036,PLAYER004,2024-05-13,9.28,6,Action-RPG,7.18,0,Extra,MEDIUM
ENG-000037,PLAYER004,2024-05-20,9.05,8,Racing,2.79,9,Extra,MEDIUM
ENG-000038,PLAYER004,2024-05-27,11.04,11,Fighting,5.90,4,Extra,MEDIUM
ENG-000039,PLAYER004,2024-06-03,16.19,10,Action-Adventure,6.47,5,Extra,MEDIUM
ENG-000040,PLAYER004,2024-06-10,17.95,22,Puzzle,5.88,5,Extra,MEDIUM
ENG-000041,PLAYER005,2024-04-08,15.88,14,Racing,12.42,8,Essential,MEDIUM
ENG-000042,PLAYER005,2024-04-15,21.67,16,Fighting,5.75,4,Essential,HIGH
ENG-000043,PLAYER005,2024-04-22,21.46,13,Sports,13.86,3,Essential,HIGH
ENG-000044,PLAYER005,2024-04-29,20.32,26,Sports,15.57,12,Essential,HIGH
ENG-000045,PLAYER005,2024-05-06,17.98,15,Action-RPG,8.46,1,Essential,MEDIUM
ENG-000046,PLAYER005,2024-05-13,15.42,14,Action-Adventure,11.80,7,Essential,MEDIUM
ENG-000047,PLAYER005,2024-05-20,10.01,9,Fighting,2.11,12,Essential,MEDIUM
ENG-000048,PLAYER005,2024-05-27,23.30,29,FPS,6.30,6,Essential,HIGH
ENG-000049,PLAYER005,2024-06-03,19.59,18,Racing,13.98,5,Essential,HIGH
ENG-000050,PLAYER005,2024-06-10,17.28,13,Racing,5.38,1,Essential,MEDIUM
ENG-000051,PLAYER006,2024-04-08,7.51,8,Indie,1.61,5,Premium,LOW
ENG-000052,PLAYER006,2024-04-15,11.19,8,Action-Adventure,3.52,12,Premium,MEDIUM
ENG-000053,PLAYER006,2024-04-22,10.16,6,Fighting,3.78,8,Premium,MEDIUM
ENG-000054,PLAYER006,2024-04-29,10.89,12,Racing,8.66,7,Premium,MEDIUM
ENG-000055,PLAYER006,2024-05-06,5.37,4,Action-Adventure,1.35,9,Premium,LOW
ENG-000056,PLAYER006,2024-05-13,6.55,5,Action-RPG,3.87,5,Premium,LOW
ENG-000057,PLAYER006,2024-05-20,11.97,12,Action-RPG,3.82,3,Premium,MEDIUM
ENG-000058,PLAYER006,2024-05-27,10.45,9,Puzzle,6.51,12,Premium,MEDIUM
ENG-000059,PLAYER006,2024-06-03,6.60,7,Fighting,1.71,3,Premium,LOW
ENG-000060,PLAYER006,2024-06-10,9.07,5,Action-RPG,6.57,11,Premium,MEDIUM
ENG-000061,PLAYER007,2024-04-08,11.10,7,Action-RPG,5.40,10,Essential,MEDIUM
ENG-000062,PLAYER007,2024-04-15,3.87,2,Sports,2.10,6,Essential,LOW
ENG-000063,PLAYER007,2024-04-22,5.67,5,Sports,2.62,9,Essential,LOW
ENG-000064,PLAYER007,2024-04-29,6.01,7,Fighting,1.54,5,Essential,LOW
ENG-000065,PLAYER007,2024-05-06,7.58,9,Action-Adventure,3.80,12,Essential,LOW
ENG-000066,PLAYER007,2024-05-13,10.98,8,Indie,5.79,3,Essential,MEDIUM
ENG-000067,PLAYER007,2024-05-20,3.97,4,Fighting,0.83,7,Essential,LOW
ENG-000068,PLAYER007,2024-05-27,9.45,8,Action-RPG,2.64,6,Essential,MEDIUM
ENG-000069,PLAYER007,2024-06-03,6.93,5,Indie,2.44,7,Essential,LOW
ENG-000070,PLAYER007,2024-06-10,7.48,7,Action-Adventure,4.04,4,Essential,LOW
ENG-000071,PLAYER008,2024-04-08,8.84,8,Fighting,5.25,4,Essential,LOW
ENG-000072,PLAYER008,2024-04-15,13.68,12,FPS,3.63,1,Essential,MEDIUM
ENG-000073,PLAYER008,2024-04-22,5.13,4,Sports,3.80,1,Essential,LOW
ENG-000074,PLAYER008,2024-04-29,8.69,10,Action-RPG,5.05,5,Essential,LOW
ENG-000075,PLAYER008,2024-05-06,9.54,8,Racing,7.33,7,Essential,MEDIUM
ENG-000076,PLAYER008,2024-05-13,8.96,8,Action-RPG,4.95,0,Essential,LOW
ENG-000077,PLAYER008,2024-05-20,10.55,13,Indie,7.87,12,Essential,MEDIUM
ENG-000078,PLAYER008,2024-05-27,6.43,3,Puzzle,2.15,5,Essential,LOW
ENG-000079,PLAYER008,2024-06-03,11.00,12,Sports,7.73,4,Essential,MEDIUM
ENG-000080,PLAYER008,2024-06-10,12.48,10,Action-Adventure,9.42,11,Essential,MEDIUM
ENG-000081,PLAYER009,2024-04-08,6.92,6,Sports,2.58,1,Essential,LOW
ENG-000082,PLAYER009,2024-04-15,3.52,4,Indie,0.76,4,Essential,LOW
ENG-000083,PLAYER009,2024-04-22,8.69,10,Sports,3.81,8,Essential,LOW
ENG-000084,PLAYER009,2024-04-29,8.57,10,Sports,5.04,8,Essential,LOW
ENG-000085,PLAYER009,2024-05-06,8.03,5,Sports,1.76,10,Essential,LOW
ENG-000086,PLAYER009,2024-05-13,5.33,5,Racing,4.12,12,Essential,LOW
ENG-000087,PLAYER009,2024-05-20,10.72,9,Indie,8.53,12,Essential,MEDIUM
ENG-000088,PLAYER009,2024-05-27,8.04,9,Action-RPG,3.62,0,Essential,LOW
ENG-000089,PLAYER009,2024-06-03,6.47,8,Racing,2.81,6,Essential,LOW
ENG-000090,PLAYER009,2024-06-10,7.81,5,FPS,4.17,0,Essential,LOW
ENG-000091,PLAYER010,2024-04-08,8.03,8,Fighting,5.69,5,Extra,LOW
ENG-000092,PLAYER010,2024-04-15,11.92,8,Puzzle,9.26,1,Extra,MEDIUM
ENG-000093,PLAYER010,2024-04-22,8.82,10,Puzzle,3.65,6,Extra,LOW
ENG-000094,PLAYER010,2024-04-29,9.28,5,Puzzle,6.34,2,Extra,MEDIUM
ENG-000095,PLAYER010,2024-05-06,3.11,2,Puzzle,1.53,10,Extra,LOW
ENG-000096,PLAYER010,2024-05-13,10.63,6,Fighting,6.49,0,Extra,MEDIUM
ENG-000097,PLAYER010,2024-05-20,5.15,5,Racing,2.17,3,Extra,LOW
ENG-000098,PLAYER010,2024-05-27,7.77,8,Indie,2.48,5,Extra,LOW
ENG-000099,PLAYER010,2024-06-03,6.58,4,Sports,1.87,8,Extra,LOW
ENG-000100,PLAYER010,2024-06-10,5.20,4,Indie,3.28,9,Extra,LOW
ENG-000101,PLAYER011,2024-04-08,6.05,4,Action-RPG,1.76,3,Essential,LOW
ENG-000102,PLAYER011,2024-04-15,9.00,7,Indie,2.06,0,Essential,MEDIUM
ENG-000103,PLAYER011,2024-04-22,8.13,7,Fighting,4.39,12,Essential,LOW
ENG-000104,PLAYER011,2024-04-29,10.83,11,Indie,8.19,1,Essential,MEDIUM
ENG-000105,PLAYER011,2024-05-06,5.11,4,Action-Adventure,1.14,2,Essential,LOW
ENG-000106,PLAYER011,2024-05-13,7.00,6,Racing,2.61,1,Essential,LOW
ENG-000107,PLAYER011,2024-05-20,5.60,7,Action-RPG,1.80,12,Essential,LOW
ENG-000108,PLAYER011,2024-05-27,6.11,4,Racing,3.78,3,Essential,LOW
ENG-000109,PLAYER011,2024-06-03,6.14,5,Racing,2.30,10,Essential,LOW
ENG-000110,PLAYER011,2024-06-10,9.52,6,Fighting,6.82,9,Essential,MEDIUM
ENG-000111,PLAYER012,2024-04-08,7.56,6,Indie,4.82,5,Essential,LOW
ENG-000112,PLAYER012,2024-04-15,3.03,3,Action-Adventure,2.02,12,Essential,LOW
ENG-000113,PLAYER012,2024-04-22,11.20,10,Puzzle,3.50,8,Essential,MEDIUM
ENG-000114,PLAYER012,2024-04-29,9.47,10,Action-Adventure,5.54,11,Essential,MEDIUM
ENG-000115,PLAYER012,2024-05-06,5.73,4,FPS,1.80,0,Essential,LOW
ENG-000116,PLAYER012,2024-05-13,7.09,6,Action-Adventure,3.27,8,Essential,LOW
ENG-000117,PLAYER012,2024-05-20,4.90,4,Racing,3.90,1,Essential,LOW
ENG-000118,PLAYER012,2024-05-27,11.79,10,Racing,6.91,5,Essential,MEDIUM
ENG-000119,PLAYER012,2024-06-03,8.36,8,Fighting,4.07,12,Essential,LOW
ENG-000120,PLAYER012,2024-06-10,8.29,8,Fighting,2.11,7,Essential,LOW
ENG-000121,PLAYER013,2024-04-08,4.16,3,Sports,2.05,6,Premium,LOW
ENG-000122,PLAYER013,2024-04-15,9.75,10,Indie,4.29,1,Premium,MEDIUM
ENG-000123,PLAYER013,2024-04-22,5.94,6,FPS,3.34,0,Premium,LOW
ENG-000124,PLAYER013,2024-04-29,5.94,6,FPS,2.61,4,Premium,LOW
ENG-000125,PLAYER013,2024-05-06,10.78,12,Action-RPG,4.59,1,Premium,MEDIUM
ENG-000126,PLAYER013,2024-05-13,7.08,5,Indie,3.92,4,Premium,LOW
ENG-000127,PLAYER013,2024-05-20,9.30,5,Action-Adventure,4.23,8,Premium,MEDIUM
ENG-000128,PLAYER013,2024-05-27,9.72,6,Fighting,4.87,5,Premium,MEDIUM
ENG-000129,PLAYER013,2024-06-03,10.64,13,Puzzle,6.66,2,Premium,MEDIUM
ENG-000130,PLAYER013,2024-06-10,6.07,6,Sports,1.99,9,Premium,LOW
ENG-000131,PLAYER014,2024-04-08,11.19,11,Action-Adventure,6.15,7,Extra,MEDIUM
ENG-000132,PLAYER014,2024-04-15,11.06,13,Racing,7.98,9,Extra,MEDIUM
ENG-000133,PLAYER014,2024-04-22,8.11,8,Indie,6.44,12,Extra,LOW
ENG-000134,PLAYER014,2024-04-29,7.76,8,FPS,4.94,11,Extra,LOW
ENG-000135,PLAYER014,2024-05-06,11.29,11,Action-RPG,8.20,5,Extra,MEDIUM
ENG-000136,PLAYER014,2024-05-13,11.67,8,FPS,4.68,0,Extra,MEDIUM
ENG-000137,PLAYER014,2024-05-20,11.99,7,Racing,9.15,1,Extra,MEDIUM
ENG-000138,PLAYER014,2024-05-27,10.77,6,Sports,8.49,7,Extra,MEDIUM
ENG-000139,PLAYER014,2024-06-03,11.49,13,Action-Adventure,3.68,12,Extra,MEDIUM
ENG-000140,PLAYER014,2024-06-10,3.60,4,FPS,0.75,7,Extra,LOW
ENG-000141,PLAYER015,2024-04-08,9.16,6,Fighting,3.37,7,Extra,MEDIUM
ENG-000142,PLAYER015,2024-04-15,11.39,7,Action-Adventure,3.04,7,Extra,MEDIUM
ENG-000143,PLAYER015,2024-04-22,6.13,5,Puzzle,3.17,10,Extra,LOW
ENG-000144,PLAYER015,2024-04-29,10.45,12,FPS,3.66,8,Extra,MEDIUM
ENG-000145,PLAYER015,2024-05-06,9.86,9,FPS,2.56,1,Extra,MEDIUM
ENG-000146,PLAYER015,2024-05-13,13.72,16,Action-RPG,10.86,12,Extra,MEDIUM
ENG-000147,PLAYER015,2024-05-20,8.24,8,Puzzle,5.44,8,Extra,LOW
ENG-000148,PLAYER015,2024-05-27,11.29,12,Puzzle,4.75,3,Extra,MEDIUM
ENG-000149,PLAYER015,2024-06-03,10.58,12,Fighting,7.49,2,Extra,MEDIUM
ENG-000150,PLAYER015,2024-06-10,12.30,10,Sports,4.43,9,Extra,MEDIUM
ENG-000151,PLAYER016,2024-04-08,9.81,12,Fighting,4.07,3,Essential,MEDIUM
ENG-000152,PLAYER016,2024-04-15,5.61,4,Sports,2.00,11,Essential,LOW
ENG-000153,PLAYER016,2024-04-22,9.11,10,FPS,2.30,7,Essential,MEDIUM
ENG-000154,PLAYER016,2024-04-29,11.14,11,Action-Adventure,5.06,9,Essential,MEDIUM
ENG-000155,PLAYER016,2024-05-06,7.60,6,Action-Adventure,5.41,4,Essential,LOW
ENG-000156,PLAYER016,2024-05-13,9.09,9,Fighting,5.96,1,Essential,MEDIUM
ENG-000157,PLAYER016,2024-05-20,5.98,4,Action-Adventure,4.56,5,Essential,LOW
ENG-000158,PLAYER016,2024-05-27,7.26,8,Action-Adventure,1.87,5,Essential,LOW
ENG-000159,PLAYER016,2024-06-03,8.13,9,Sports,2.58,10,Essential,LOW
ENG-000160,PLAYER016,2024-06-10,7.68,8,Racing,2.15,8,Essential,LOW
ENG-000161,PLAYER017,2024-04-08,18.77,21,FPS,11.79,1,Essential,HIGH
ENG-000162,PLAYER017,2024-04-15,12.92,12,Sports,4.61,8,Essential,MEDIUM
ENG-000163,PLAYER017,2024-04-22,22.18,26,Racing,7.42,5,Essential,HIGH
ENG-000164,PLAYER017,2024-04-29,11.33,9,Action-Adventure,6.21,3,Essential,MEDIUM
ENG-000165,PLAYER017,2024-05-06,19.05,12,Indie,9.56,2,Essential,HIGH
ENG-000166,PLAYER017,2024-05-13,22.00,14,Fighting,15.63,3,Essential,HIGH
ENG-000167,PLAYER017,2024-05-20,12.10,10,Action-RPG,6.79,11,Essential,MEDIUM
ENG-000168,PLAYER017,2024-05-27,11.91,11,Sports,6.67,3,Essential,MEDIUM
ENG-000169,PLAYER017,2024-06-03,12.60,9,Action-Adventure,2.90,10,Essential,MEDIUM
ENG-000170,PLAYER017,2024-06-10,21.46,13,Racing,16.48,6,Essential,HIGH
ENG-000171,PLAYER018,2024-04-08,12.62,8,Indie,5.53,10,Extra,MEDIUM
ENG-000172,PLAYER018,2024-04-15,21.48,20,Action-Adventure,13.56,0,Extra,HIGH
ENG-000173,PLAYER018,2024-04-22,14.87,12,Action-Adventure,8.35,9,Extra,MEDIUM
ENG-000174,PLAYER018,2024-04-29,22.54,26,Puzzle,8.16,12,Extra,HIGH
ENG-000175,PLAYER018,2024-05-06,13.55,9,Fighting,4.46,8,Extra,MEDIUM
ENG-000176,PLAYER018,2024-05-13,10.14,7,Indie,5.92,5,Extra,MEDIUM
ENG-000177,PLAYER018,2024-05-20,20.62,25,Action-Adventure,10.69,11,Extra,HIGH
ENG-000178,PLAYER018,2024-05-27,22.56,26,Indie,10.58,2,Extra,HIGH
ENG-000179,PLAYER018,2024-06-03,20.98,13,Fighting,10.09,8,Extra,HIGH
ENG-000180,PLAYER018,2024-06-10,10.97,9,FPS,7.09,4,Extra,MEDIUM
ENG-000181,PLAYER019,2024-04-08,9.48,10,Fighting,2.59,5,Extra,MEDIUM
ENG-000182,PLAYER019,2024-04-15,6.50,7,Puzzle,4.97,10,Extra,LOW
ENG-000183,PLAYER019,2024-04-22,5.37,5,Indie,3.92,11,Extra,LOW
ENG-000184,PLAYER019,2024-04-29,4.18,4,Fighting,3.26,4,Extra,LOW
ENG-000185,PLAYER019,2024-05-06,6.92,4,Puzzle,1.75,0,Extra,LOW
ENG-000186,PLAYER019,2024-05-13,10.79,13,Action-Adventure,6.11,1,Extra,MEDIUM
ENG-000187,PLAYER019,2024-05-20,6.90,8,Indie,2.78,6,Extra,LOW
ENG-000188,PLAYER019,2024-05-27,9.25,11,Action-RPG,6.24,4,Extra,MEDIUM
ENG-000189,PLAYER019,2024-06-03,8.34,7,Puzzle,3.64,12,Extra,LOW
ENG-000190,PLAYER019,2024-06-10,4.63,5,Racing,1.66,1,Extra,LOW
ENG-000191,PLAYER020,2024-04-08,15.56,19,Fighting,5.02,7,Extra,MEDIUM
ENG-000192,PLAYER020,2024-04-15,23.03,13,Sports,13.38,11,Extra,HIGH
ENG-000193,PLAYER020,2024-04-22,13.37,12,Indie,5.81,7,Extra,MEDIUM
ENG-000194,PLAYER020,2024-04-29,8.55,5,Puzzle,6.44,2,Extra,LOW
ENG-000195,PLAYER020,2024-05-06,17.23,16,FPS,5.35,12,Extra,MEDIUM
ENG-000196,PLAYER020,2024-05-13,19.72,16,Action-RPG,6.13,7,Extra,HIGH
ENG-000197,PLAYER020,2024-05-20,18.29,19,Puzzle,12.27,10,Extra,HIGH
ENG-000198,PLAYER020,2024-05-27,13.49,17,Indie,9.62,9,Extra,MEDIUM
ENG-000199,PLAYER020,2024-06-03,11.71,15,Indie,6.53,5,Extra,MEDIUM
ENG-000200,PLAYER020,2024-06-10,19.15,24,Fighting,13.77,9,Extra,HIGH
ENG-000201,PLAYER021,2024-04-08,11.58,11,Sports,2.41,5,Essential,MEDIUM
ENG-000202,PLAYER021,2024-04-15,5.79,7,Action-Adventure,2.13,0,Essential,LOW
ENG-000203,PLAYER021,2024-04-22,11.99,7,Sports,8.50,11,Essential,MEDIUM
ENG-000204,PLAYER021,2024-04-29,7.14,7,Racing,2.28,3,Essential,LOW
ENG-000205,PLAYER021,2024-05-06,4.98,4,Fighting,1.20,0,Essential,LOW
ENG-000206,PLAYER021,2024-05-13,6.92,7,Fighting,5.17,5,Essential,LOW
ENG-000207,PLAYER021,2024-05-20,8.46,7,Action-Adventure,3.73,10,Essential,LOW
ENG-000208,PLAYER021,2024-05-27,10.55,12,Fighting,6.52,1,Essential,MEDIUM
ENG-000209,PLAYER021,2024-06-03,8.89,5,Sports,4.32,0,Essential,LOW
ENG-000210,PLAYER021,2024-06-10,9.34,6,Fighting,2.56,2,Essential,MEDIUM
ENG-000211,PLAYER022,2024-04-08,10.46,8,Sports,5.33,1,Essential,MEDIUM
ENG-000212,PLAYER022,2024-04-15,4.48,3,Action-Adventure,1.55,8,Essential,LOW
ENG-000213,PLAYER022,2024-04-22,5.26,6,Indie,3.24,6,Essential,LOW
ENG-000214,PLAYER022,2024-04-29,5.10,4,Fighting,2.67,9,Essential,LOW
ENG-000215,PLAYER022,2024-05-06,7.65,6,Sports,5.36,5,Essential,LOW
ENG-000216,PLAYER022,2024-05-13,5.14,5,Puzzle,2.40,6,Essential,LOW
ENG-000217,PLAYER022,2024-05-20,4.94,5,Racing,1.07,2,Essential,LOW
ENG-000218,PLAYER022,2024-05-27,4.66,6,Puzzle,2.03,1,Essential,LOW
ENG-000219,PLAYER022,2024-06-03,3.47,4,Puzzle,2.67,11,Essential,LOW
ENG-000220,PLAYER022,2024-06-10,10.88,7,Indie,2.87,10,Essential,MEDIUM
ENG-000221,PLAYER023,2024-04-08,5.93,5,Sports,4.54,7,Extra,LOW
ENG-000222,PLAYER023,2024-04-15,10.46,7,Indie,7.50,1,Extra,MEDIUM
ENG-000223,PLAYER023,2024-04-22,4.49,3,Action-RPG,2.08,10,Extra,LOW
ENG-000224,PLAYER023,2024-04-29,11.01,8,Action-Adventure,8.59,5,Extra,MEDIUM
ENG-000225,PLAYER023,2024-05-06,7.49,5,Indie,1.98,2,Extra,LOW
ENG-000226,PLAYER023,2024-05-13,5.44,6,Racing,2.75,10,Extra,LOW
ENG-000227,PLAYER023,2024-05-20,3.65,3,Puzzle,1.87,1,Extra,LOW
ENG-000228,PLAYER023,2024-05-27,8.52,7,Action-Adventure,3.10,1,Extra,LOW
ENG-000229,PLAYER023,2024-06-03,6.82,7,Racing,3.57,4,Extra,LOW
ENG-000230,PLAYER023,2024-06-10,9.80,10,Racing,5.12,9,Extra,MEDIUM
ENG-000231,PLAYER024,2024-04-08,9.94,10,Sports,7.37,6,Extra,MEDIUM
ENG-000232,PLAYER024,2024-04-15,4.39,3,FPS,3.01,11,Extra,LOW
ENG-000233,PLAYER024,2024-04-22,11.98,12,FPS,4.03,0,Extra,MEDIUM
ENG-000234,PLAYER024,2024-04-29,3.05,2,Indie,2.31,0,Extra,LOW
ENG-000235,PLAYER024,2024-05-06,5.38,6,Action-RPG,2.29,7,Extra,LOW
ENG-000236,PLAYER024,2024-05-13,9.23,11,Puzzle,6.47,6,Extra,MEDIUM
ENG-000237,PLAYER024,2024-05-20,11.35,11,Indie,2.38,3,Extra,MEDIUM
ENG-000238,PLAYER024,2024-05-27,5.75,5,Action-Adventure,3.94,10,Extra,LOW
ENG-000239,PLAYER024,2024-06-03,10.14,6,FPS,6.69,4,Extra,MEDIUM
ENG-000240,PLAYER024,2024-06-10,5.78,4,Indie,3.80,0,Extra,LOW
ENG-000241,PLAYER025,2024-04-08,8.57,6,Indie,2.02,5,Extra,LOW
ENG-000242,PLAYER025,2024-04-15,5.05,5,Sports,1.42,0,Extra,LOW
ENG-000243,PLAYER025,2024-04-22,7.32,4,Sports,1.92,4,Extra,LOW
ENG-000244,PLAYER025,2024-04-29,8.94,6,Racing,3.98,2,Extra,LOW
ENG-000245,PLAYER025,2024-05-06,7.84,8,FPS,3.38,0,Extra,LOW
ENG-000246,PLAYER025,2024-05-13,6.05,5,Sports,3.13,4,Extra,LOW
ENG-000247,PLAYER025,2024-05-20,8.75,6,FPS,5.21,5,Extra,LOW
ENG-000248,PLAYER025,2024-05-27,9.86,10,Action-RPG,4.74,9,Extra,MEDIUM
ENG-000249,PLAYER025,2024-06-03,4.48,4,Fighting,3.43,10,Extra,LOW
ENG-000250,PLAYER025,2024-06-10,5.40,6,Action-Adventure,1.76,11,Extra,LOW
ENG-000251,PLAYER026,2024-04-08,8.15,7,FPS,2.40,3,Essential,LOW
ENG-000252,PLAYER026,2024-04-15,4.08,3,Racing,1.66,6,Essential,LOW
ENG-000253,PLAYER026,2024-04-22,7.64,9,Indie,4.04,10,Essential,LOW
ENG-000254,PLAYER026,2024-04-29,10.61,6,FPS,7.78,11,Essential,MEDIUM
ENG-000255,PLAYER026,2024-05-06,11.84,9,Action-RPG,3.81,9,Essential,MEDIUM
ENG-000256,PLAYER026,2024-05-13,10.25,11,Racing,5.94,12,Essential,MEDIUM
ENG-000257,PLAYER026,2024-05-20,6.67,4,Fighting,3.22,4,Essential,LOW
ENG-000258,PLAYER026,2024-05-27,5.94,6,Racing,1.62,1,Essential,LOW
ENG-000259,PLAYER026,2024-06-03,10.98,13,Fighting,8.30,10,Essential,MEDIUM
ENG-000260,PLAYER026,2024-06-10,3.26,3,Puzzle,2.03,10,Essential,LOW
ENG-000261,PLAYER027,2024-04-08,13.48,13,Action-RPG,3.08,11,Essential,MEDIUM
ENG-000262,PLAYER027,2024-04-15,17.85,17,Indie,10.73,2,Essential,MEDIUM
ENG-000263,PLAYER027,2024-04-22,11.34,9,Sports,2.86,10,Essential,MEDIUM
ENG-000264,PLAYER027,2024-04-29,9.05,10,Action-RPG,2.04,1,Essential,MEDIUM
ENG-000265,PLAYER027,2024-05-06,13.73,13,Puzzle,6.26,10,Essential,MEDIUM
ENG-000266,PLAYER027,2024-05-13,20.89,19,Action-Adventure,16.02,8,Essential,HIGH
ENG-000267,PLAYER027,2024-05-20,16.34,19,Action-RPG,7.54,11,Essential,MEDIUM
ENG-000268,PLAYER027,2024-05-27,22.34,28,Action-RPG,16.31,11,Essential,HIGH
ENG-000269,PLAYER027,2024-06-03,22.35,28,Racing,6.11,3,Essential,HIGH
ENG-000270,PLAYER027,2024-06-10,18.06,23,Racing,5.81,0,Essential,HIGH
ENG-000271,PLAYER028,2024-04-08,14.72,9,Action-RPG,3.31,4,Extra,MEDIUM
ENG-000272,PLAYER028,2024-04-15,21.99,27,Action-Adventure,8.46,9,Extra,HIGH
ENG-000273,PLAYER028,2024-04-22,19.24,22,Puzzle,7.82,9,Extra,HIGH
ENG-000274,PLAYER028,2024-04-29,15.40,19,Racing,11.04,5,Extra,MEDIUM
ENG-000275,PLAYER028,2024-05-06,18.83,22,Indie,3.89,0,Extra,HIGH
ENG-000276,PLAYER028,2024-05-13,15.50,9,Racing,10.88,7,Extra,MEDIUM
ENG-000277,PLAYER028,2024-05-20,17.28,11,Racing,5.08,10,Extra,MEDIUM
ENG-000278,PLAYER028,2024-05-27,20.00,20,Puzzle,14.61,0,Extra,HIGH
ENG-000279,PLAYER028,2024-06-03,11.91,8,Sports,6.88,8,Extra,MEDIUM
ENG-000280,PLAYER028,2024-06-10,20.87,22,FPS,9.02,11,Extra,HIGH
ENG-000281,PLAYER029,2024-04-08,10.43,13,FPS,7.22,1,Essential,MEDIUM
ENG-000282,PLAYER029,2024-04-15,11.47,13,Action-RPG,8.16,3,Essential,MEDIUM
ENG-000283,PLAYER029,2024-04-22,6.15,4,Fighting,4.11,3,Essential,LOW
ENG-000284,PLAYER029,2024-04-29,9.73,11,Racing,6.07,3,Essential,MEDIUM
ENG-000285,PLAYER029,2024-05-06,6.72,5,Action-RPG,4.07,4,Essential,LOW
ENG-000286,PLAYER029,2024-05-13,10.41,9,Action-RPG,2.56,1,Essential,MEDIUM
ENG-000287,PLAYER029,2024-05-20,8.97,5,Sports,1.93,10,Essential,LOW
ENG-000288,PLAYER029,2024-05-27,5.05,4,Fighting,3.27,3,Essential,LOW
ENG-000289,PLAYER029,2024-06-03,4.06,3,Action-Adventure,2.81,6,Essential,LOW
ENG-000290,PLAYER029,2024-06-10,7.34,5,Sports,2.19,7,Essential,LOW
