event_id,player_id,controller_id,controller_serial,event_date,primary_issue,issue_confidence,right_stick_drift_score,left_stick_drift_score,disconnect_frequency_score,battery_health_percent,session_hours_l30d,firmware_version,platform_version
TEL-000011,PLAYER010,CTRL-0011,ZCT2E-E1576194,2024-06-01,NONE,LOW,0.05,0.00,0.12,65,74.4,3.02,1.06
TEL-000012,PLAYER011,CTRL-0012,ZCT1W-J9024252,2024-05-12,NONE,LOW,0.09,0.03,0.03,70,19.9,3.02,1.06
TEL-000013,PLAYER012,CTRL-0013,ZCT2E-N1986711,2024-05-23,NONE,LOW,0.16,0.06,0.13,75,38.3,3.02,1.06
TEL-000014,PLAYER013,CTRL-0014,ZCT1W-H1881916,2024-04-25,DISCONNECT_FIRMWARE,MEDIUM,0.08,0.00,0.74,91,66.0,3.00,1.06
TEL-000015,PLAYER014,CTRL-0015,ZCT2E-N6018095,2024-06-03,NONE,LOW,0.12,0.00,0.09,73,75.8,3.02,1.06
TEL-000016,PLAYER015,CTRL-0016,ZCT2E-L8087324,2024-04-24,DISCONNECT_FIRMWARE,MEDIUM,0.16,0.09,0.78,68,69.1,2.98,1.06
TEL-000017,PLAYER016,CTRL-0017,ZCT2E-N2204993,2024-05-10,DISCONNECT_FIRMWARE,MEDIUM,0.24,0.05,0.75,90,74.2,3.01,1.06
TEL-000018,PLAYER017,CTRL-0018,ZCT1W-T7606405,2024-04-08,RIGHT_STICK_MODULE,MEDIUM,0.54,0.42,0.16,78,79.0,3.02,1.06
TEL-000019,PLAYER018,CTRL-0019,ZCT2E-U1908038,2024-05-03,RIGHT_STICK_DRIFT,MEDIUM,0.94,0.80,0.18,96,56.2,3.02,1.06
TEL-000020,PLAYER019,CTRL-0020,ZCT1W-U3307889,2024-04-20,NONE,LOW,0.10,0.04,0.10,76,88.2,3.02,1.06
TEL-000021,PLAYER020,CTRL-0021,ZCT1W-G4659722,2024-05-15,RIGHT_STICK_DRIFT,HIGH,0.94,0.79,0.08,89,48.2,3.02,1.06
TEL-000022,PLAYER021,CTRL-0022,ZCT1W-M2710400,2024-05-02,NONE,LOW,0.19,0.00,0.09,75,57.0,3.02,1.06
TEL-000023,PLAYER022,CTRL-0023,ZCT2E-X3822312,2024-06-08,NONE,LOW,0.06,0.00,0.12,81,52.6,3.02,1.06
TEL-000024,PLAYER022,CTRL-0024,ZCT2E-F1880336,2024-04-24,NONE,LOW,0.16,0.05,0.12,94,104.6,3.02,1.06
TEL-000025,PLAYER023,CTRL-0025,ZCT2E-U8278315,2024-05-18,NONE,LOW,0.17,0.03,0.02,70,25.8,3.02,1.06
TEL-000026,PLAYER024,CTRL-0026,ZCT1W-D5040883,2024-05-01,NONE,LOW,0.20,0.13,0.01,71,89.7,3.02,1.06
TEL-000027,PLAYER025,CTRL-0027,ZCT1W-W7297691,2024-05-29,NONE,LOW,0.06,0.00,0.13,70,54.1,3.02,1.06
TEL-000028,PLAYER026,CTRL-0028,ZCT2E-W7410589,2024-05-10,NONE,LOW,0.20,0.13,0.10,94,96.8,3.02,1.06
TEL-000029,PLAYER027,CTRL-0029,ZCT1W-D2956687,2024-05-09,RIGHT_STICK_DRIFT,MEDIUM,0.92,0.78,0.04,89,75.8,3.02,1.06
TEL-000030,PLAYER028,CTRL-0030,ZCT1W-A9044647,2024-05-31,RIGHT_STICK_DRIFT,HIGH,0.74,0.68,0.17,78,8.0,3.02,1.06
TEL-000031,PLAYER029,CTRL-0031,ZCT1W-N9123384,2024-05-21,NONE,LOW,0.19,0.05,0.02,78,28.7,3.02,1.06
TEL-000032,PLAYER030,CTRL-0032,ZCT1W-D6456436,2024-06-08,RIGHT_STICK_DRIFT,MEDIUM,0.89,0.74,0.14,84,13.6,3.02,1.06
TEL-000033,PLAYER031,CTRL-0033,ZCT2E-A7606809,2024-04-18,NONE,LOW,0.14,0.00,0.04,82,27.9,3.02,1.06
TEL-000034,PLAYER031,CTRL-0034,ZCT2E-C9705716,2024-04-28,NONE,LOW,0.09,0.02,0.07,83,50.8,3.02,1.06
TEL-000035,PLAYER032,CTRL-0035,ZCT1W-X2968404,2024-04-08,DISCONNECT_FIRMWARE,MEDIUM,0.26,0.07,0.64,69,62.4,2.98,1.06
TEL-000036,PLAYER033,CTRL-0036,ZCT2E-L3064357,2024-04-12,RIGHT_STICK_DRIFT,MEDIUM,0.71,0.52,0.08,88,101.1,3.02,1.06
TEL-000037,PLAYER034,CTRL-0037,ZCT1W-C5307726,2024-04-15,DISCONNECT_FIRMWARE,MEDIUM,0.19,0.08,0.65,72,66.9,2.98,1.06
TEL-000038,PLAYER034,CTRL-0038,ZCT1W-S6009306,2024-05-23,DISCONNECT_FIRMWARE,MEDIUM,0.05,0.00,0.71,71,55.4,2.98,1.06
TEL-000039,PLAYER035,CTRL-0039,ZCT1W-H6043230,2024-06-03,BATTERY_DEGRADATION,MEDIUM,0.35,0.17,0.21,81,31.0,3.02,1.06
TEL-000040,PLAYER036,CTRL-0040,ZCT2E-X9960751,2024-05-03,NONE,LOW,0.18,0.03,0.03,90,37.0,3.02,1.06
TEL-000041,PLAYER037,CTRL-0041,ZCT2E-S6907545,2024-04-19,NONE,LOW,0.21,0.02,0.05,87,51.6,3.02,1.06
TEL-000042,PLAYER037,CTRL-0042,ZCT1W-X1750538,2024-05-13,NONE,LOW,0.20,0.01,0.05,71,28.0,3.02,1.06
TEL-000043,PLAYER038,CTRL-0043,ZCT2E-G3251636,2024-06-07,NONE,LOW,0.16,0.05,0.06,94,108.2,3.02,1.06
TEL-000044,PLAYER039,CTRL-0044,ZCT2E-J3155739,2024-04-12,RIGHT_STICK_DRIFT,HIGH,0.75,0.61,0.15,71,117.2,3.02,1.06
TEL-000045,PLAYER040,CTRL-0045,ZCT2E-J7405244,2024-05-13,NONE,LOW,0.20,0.08,0.12,92,19.2,3.02,1.06
TEL-000046,PLAYER041,CTRL-0046,ZCT2E-C5264422,2024-06-03,RIGHT_STICK_MODULE,MEDIUM,0.46,0.28,0.07,84,71.2,3.02,1.06
TEL-000047,PLAYER042,CTRL-0047,ZCT1W-T4418574,2024-04-30,RIGHT_STICK_MODULE,MEDIUM,0.54,0.36,0.09,74,32.5,3.02,1.06
TEL-000048,PLAYER043,CTRL-0048,ZCT2E-W4231751,2024-05-17,NONE,LOW,0.08,0.00,0.05,70,38.1,3.02,1.06
TEL-000049,PLAYER044,CTRL-0049,ZCT1W-P3575158,2024-06-01,DISCONNECT_FIRMWARE,MEDIUM,0.28,0.11,0.81,83,58.2,3.01,1.06
TEL-000050,PLAYER045,CTRL-0050,ZCT1W-V5152322,2024-04-09,DISCONNECT_FIRMWARE,MEDIUM,0.10,0.00,0.84,72,102.3,3.01,1.06
TEL-000051,PLAYER046,CTRL-0051,ZCT1W-X7824657,2024-04-25,NONE,LOW,0.11,0.02,0.09,79,30.2,3.02,1.06
TEL-000052,PLAYER047,CTRL-0052,ZCT2E-J3455003,2024-06-02,DISCONNECT_FIRMWARE,MEDIUM,0.27,0.22,0.57,95,74.7,3.01,1.06
TEL-000053,PLAYER048,CTRL-0053,ZCT1W-D7327627,2024-05-07,BATTERY_DEGRADATION,MEDIUM,0.25,0.07,0.13,72,113.7,3.02,1.06
TEL-000054,PLAYER049,CTRL-0054,ZCT1W-D3948283,2024-04-30,NONE,LOW,0.05,0.00,0.11,89,75.6,3.02,1.06
TEL-000055,PLAYER050,CTRL-0055,ZCT2E-D9874478,2024-04-12,BATTERY_DEGRADATION,MEDIUM,0.27,0.14,0.11,62,55.9,3.02,1.06
TEL-000056,PLAYER051,CTRL-0056,ZCT2E-V2662054,2024-05-17,NONE,LOW,0.12,0.01,0.10,68,32.9,3.02,1.06
TEL-000057,PLAYER051,CTRL-0057,ZCT2E-F6791040,2024-05-11,NONE,LOW,0.08,0.00,0.07,77,68.7,3.02,1.06
TEL-000058,PLAYER052,CTRL-0058,ZCT2E-R3140306,2024-06-04,NONE,LOW,0.19,0.09,0.14,78,108.4,3.02,1.06
TEL-000059,PLAYER053,CTRL-0059,ZCT1W-X3120109,2024-06-06,DISCONNECT_FIRMWARE,MEDIUM,0.09,0.00,0.84,94,108.9,2.98,1.06
TEL-000060,PLAYER054,CTRL-0060,ZCT2E-H8016965,2024-04-16,NONE,LOW,0.10,0.00,0.05,81,99.4,3.02,1.06
TEL-000061,PLAYER055,CTRL-0061,ZCT2E-Q9426008,2024-04-12,BATTERY_DEGRADATION,MEDIUM,0.38,0.26,0.09,82,72.6,3.02,1.06
TEL-000062,PLAYER056,CTRL-0062,ZCT1W-K2458649,2024-04-22,NONE,LOW,0.03,0.00,0.08,87,80.8,3.02,1.06
TEL-000063,PLAYER057,CTRL-0063,ZCT2E-C2333367,2024-05-27,NONE,LOW,0.03,0.00,0.15,88,56.0,3.02,1.06
TEL-000064,PLAYER058,CTRL-0064,ZCT1W-F1963205,2024-05-21,NONE,LOW,0.20,0.11,0.04,73,55.6,3.02,1.06
TEL-000065,PLAYER059,CTRL-0065,ZCT2E-A8113264,2024-05-09,NONE,LOW,0.07,0.00,0.07,86,10.5,3.02,1.06
TEL-000066,PLAYER060,CTRL-0066,ZCT2E-S9932346,2024-05-29,RIGHT_STICK_MODULE,MEDIUM,0.59,0.41,0.21,82,23.2,3.02,1.06
TEL-000067,PLAYER061,CTRL-0067,ZCT1W-V4190758,2024-05-01,NONE,LOW,0.11,0.00,0.13,83,39.5,3.02,1.06
TEL-000068,PLAYER062,CTRL-0068,ZCT2E-T6789156,2024-04-18,RIGHT_STICK_DRIFT,HIGH,0.82,0.69,0.16,81,44.9,3.02,1.06
TEL-000069,PLAYER063,CTRL-0069,ZCT1W-V8527132,2024-05-20,NONE,LOW,0.16,0.10,0.12,80,31.0,3.02,1.06
TEL-000070,PLAYER064,CTRL-0070,ZCT1W-F2260344,2024-05-31,RIGHT_STICK_MODULE,MEDIUM,0.51,0.44,0.19,81,77.2,3.02,1.06
TEL-000071,PLAYER065,CTRL-0071,ZCT1W-S6927248,2024-06-08,NONE,LOW,0.22,0.04,0.01,90,79.4,3.02,1.06
TEL-000072,PLAYER066,CTRL-0072,ZCT2E-F7262661,2024-04-10,DISCONNECT_FIRMWARE,MEDIUM,0.30,0.23,0.74,91,85.8,3.01,1.06
TEL-000073,PLAYER067,CTRL-0073,ZCT1W-T2977453,2024-04-15,NONE,LOW,0.08,0.00,0.13,87,16.7,3.02,1.06
TEL-000074,PLAYER068,CTRL-0074,ZCT2E-G1037485,2024-05-29,RIGHT_STICK_DRIFT,HIGH,0.84,0.73,0.11,71,14.9,3.02,1.06
TEL-000075,PLAYER069,CTRL-0075,ZCT2E-W9649141,2024-04-16,NONE,LOW,0.11,0.00,0.03,86,106.5,3.02,1.06
TEL-000076,PLAYER070,CTRL-0076,ZCT2E-V9191751,2024-06-07,NONE,LOW,0.07,0.00,0.12,89,65.0,3.02,1.06
TEL-000077,PLAYER071,CTRL-0077,ZCT2E-L6005493,2024-04-18,NONE,LOW,0.16,0.03,0.09,70,21.4,3.02,1.06
TEL-000078,PLAYER071,CTRL-0078,ZCT1W-N6948065,2024-04-27,NONE,LOW,0.11,0.00,0.06,71,98.1,3.02,1.06
TEL-000079,PLAYER072,CTRL-0079,ZCT1W-C9876767,2024-06-06,RIGHT_STICK_DRIFT,MEDIUM,0.63,0.50,0.16,90,42.5,3.02,1.06
TEL-000080,PLAYER073,CTRL-0080,ZCT1W-R1115938,2024-05-11,NONE,LOW,0.06,0.00,0.09,71,85.9,3.02,1.06
TEL-000081,PLAYER074,CTRL-0081,ZCT2E-N7279870,2024-05-08,RIGHT_STICK_MODULE,MEDIUM,0.74,0.58,0.07,95,41.9,3.02,1.06
TEL-000082,PLAYER075,CTRL-0082,ZCT2E-F9999758,2024-04-10,RIGHT_STICK_DRIFT,HIGH,0.64,0.52,0.09,96,75.1,3.02,1.06
TEL-000083,PLAYER076,CTRL-0083,ZCT2E-F3346703,2024-04-16,RIGHT_STICK_DRIFT,HIGH,0.82,0.74,0.17,76,119.6,3.02,1.06
TEL-000084,PLAYER077,CTRL-0084,ZCT2E-G2856661,2024-04-28,RIGHT_STICK_MODULE,MEDIUM,0.74,0.60,0.10,81,94.9,3.02,1.06
TEL-000085,PLAYER078,CTRL-0085,ZCT1W-E7619383,2024-05-09,RIGHT_STICK_MODULE,MEDIUM,0.69,0.53,0.19,87,100.1,3.02,1.06
TEL-000086,PLAYER079,CTRL-0086,ZCT2E-B3689597,2024-04-17,NONE,LOW,0.12,0.01,0.09,81,111.9,3.02,1.06
TEL-000087,PLAYER080,CTRL-0087,ZCT2E-D8064807,2024-05-27,RIGHT_STICK_DRIFT,HIGH,0.82,0.67,0.19,86,46.5,3.02,1.06
TEL-000088,PLAYER081,CTRL-0088,ZCT1W-L7708806,2024-04-14,NONE,LOW,0.05,0.00,0.10,89,111.2,3.02,1.06
TEL-000089,PLAYER082,CTRL-0089,ZCT1W-D1354875,2024-04-26,DISCONNECT_FIRMWARE,MEDIUM,0.32,0.22,0.74,71,58.3,2.98,1.06
TEL-000090,PLAYER083,CTRL-0090,ZCT1W-X4967894,2024-04-13,NONE,LOW,0.05,0.00,0.02,70,78.7,3.02,1.06
TEL-000091,PLAYER084,CTRL-0091,ZCT1W-P9056301,2024-04-13,NONE,LOW,0.11,0.06,0.02,85,11.5,3.02,1.06
TEL-000092,PLAYER085,CTRL-0092,ZCT2E-H3558453,2024-04-16,DISCONNECT_FIRMWARE,MEDIUM,0.19,0.11,0.63,94,69.6,3.01,1.06
TEL-000093,PLAYER086,CTRL-0093,ZCT2E-D5421311,2024-05-15,NONE,LOW,0.19,0.09,0.13,94,82.0,3.02,1.06
TEL-000094,PLAYER087,CTRL-0094,ZCT2E-G8950602,2024-04-10,DISCONNECT_FIRMWARE,MEDIUM,0.19,0.05,0.68,76,71.3,3.01,1.06
TEL-000095,PLAYER088,CTRL-0095,ZCT1W-G3495209,2024-06-06,NONE,LOW,0.15,0.04,0.02,65,113.0,3.02,1.06
TEL-000096,PLAYER088,CTRL-0096,ZCT1W-J4224201,2024-04-22,NONE,LOW,0.17,0.06,0.13,68,97.6,3.02,1.06
TEL-000097,PLAYER089,CTRL-0097,ZCT1W-C1854889,2024-05-29,NONE,LOW,0.10,0.05,0.01,69,9.9,3.02,1.06
TEL-000098,PLAYER090,CTRL-0098,ZCT1W-H6640128,2024-04-23,RIGHT_STICK_MODULE,MEDIUM,0.59,0.42,0.18,96,55.2,3.02,1.06
TEL-000099,PLAYER091,CTRL-0099,ZCT1W-S8165093,2024-05-11,BATTERY_DEGRADATION,MEDIUM,0.18,0.01,0.10,68,80.9,3.02,1.06
TEL-000100,PLAYER092,CTRL-0100,ZCT2E-M5706947,2024-05-10,RIGHT_STICK_MODULE,MEDIUM,0.55,0.38,0.15,80,8.7,3.02,1.06
TEL-000101,PLAYER093,CTRL-0101,ZCT2E-H6366039,2024-04-30,NONE,LOW,0.03,0.00,0.11,94,24.0,3.02,1.06
TEL-000102,PLAYER094,CTRL-0102,ZCT1W-B6396217,2024-04-28,BATTERY_DEGRADATION,MEDIUM,0.30,0.19,0.14,51,18.1,3.02,1.06
TEL-000103,PLAYER094,CTRL-0103,ZCT1W-P4101100,2024-04-27,BATTERY_DEGRADATION,MEDIUM,0.39,0.30,0.16,58,109.9,3.02,1.06
TEL-000104,PLAYER095,CTRL-0104,ZCT2E-K2871139,2024-06-04,BATTERY_DEGRADATION,MEDIUM,0.22,0.07,0.25,61,50.2,3.02,1.06
TEL-000105,PLAYER096,CTRL-0105,ZCT1W-L7049339,2024-06-04,NONE,LOW,0.03,0.00,0.14,77,22.9,3.02,1.06
TEL-000106,PLAYER096,CTRL-0106,ZCT2E-H5629621,2024-05-17,NONE,LOW,0.04,0.00,0.06,78,64.1,3.02,1.06
TEL-000107,PLAYER097,CTRL-0107,ZCT1W-E3019210,2024-04-18,RIGHT_STICK_DRIFT,HIGH,0.84,0.68,0.17,74,9.8,3.02,1.06
TEL-000108,PLAYER097,CTRL-0108,ZCT2E-D2256271,2024-05-09,RIGHT_STICK_DRIFT,HIGH,0.91,0.73,0.17,93,69.2,3.02,1.06
TEL-000109,PLAYER098,CTRL-0109,ZCT2E-G9951610,2024-04-23,RIGHT_STICK_MODULE,MEDIUM,0.56,0.44,0.19,80,66.0,3.02,1.06
TEL-000110,PLAYER099,CTRL-0110,ZCT1W-G8016442,2024-05-13,NONE,LOW,0.21,0.14,0.07,71,22.2,3.02,1.06
TEL-000111,PLAYER100,CTRL-0111,ZCT2E-M8524283,2024-06-01,NONE,LOW,0.04,0.00,0.07,89,116.7,3.02,1.06
TEL-000112,PLAYER101,CTRL-0112,ZCT2E-C9100385,2024-05-30,NONE,LOW,0.08,0.00,0.02,75,99.5,3.02,1.06
TEL-000113,PLAYER102,CTRL-0113,ZCT1W-F5599450,2024-04-30,NONE,LOW,0.06,0.00,0.02,84,51.3,3.02,1.06
TEL-000114,PLAYER103,CTRL-0114,ZCT1W-U2019943,2024-04-29,NONE,LOW,0.21,0.14,0.09,77,52.6,3.02,1.06
TEL-000115,PLAYER104,CTRL-0115,ZCT2E-R9933361,2024-06-05,DISCONNECT_FIRMWARE,MEDIUM,0.33,0.26,0.71,93,50.2,3.00,1.06
TEL-000116,PLAYER105,CTRL-0116,ZCT2E-S7444974,2024-04-27,NONE,LOW,0.14,0.00,0.11,88,35.8,3.02,1.06
TEL-000117,PLAYER106,CTRL-0117,ZCT2E-G4088120,2024-05-19,BATTERY_DEGRADATION,MEDIUM,0.33,0.15,0.23,68,65.7,3.02,1.06
TEL-000118,PLAYER107,CTRL-0118,ZCT1W-S8641031,2024-06-10,DISCONNECT_FIRMWARE,MEDIUM,0.19,0.13,0.53,69,36.5,3.00,1.06
TEL-000119,PLAYER107,CTRL-0119,ZCT2E-H5972157,2024-04-30,DISCONNECT_FIRMWARE,MEDIUM,0.06,0.00,0.88,90,18.7,3.00,1.06
TEL-000120,PLAYER108,CTRL-0120,ZCT1W-B9951748,2024-05-03,RIGHT_STICK_DRIFT,MEDIUM,0.81,0.74,0.16,69,9.1,3.02,1.06
TEL-000121,PLAYER109,CTRL-0121,ZCT1W-J3230889,2024-04-08,NONE,LOW,0.20,0.14,0.05,95,86.2,3.02,1.06
TEL-000122,PLAYER110,CTRL-0122,ZCT1W-G9969014,2024-05-29,RIGHT_STICK_DRIFT,MEDIUM,0.65,0.46,0.13,74,81.0,3.02,1.06
TEL-000123,PLAYER111,CTRL-0123,ZCT2E-L2396638,2024-05-07,RIGHT_STICK_MODULE,MEDIUM,0.71,0.55,0.22,82,32.4,3.02,1.06
TEL-000124,PLAYER112,CTRL-0124,ZCT1W-P5947522,2024-04-23,NONE,LOW,0.03,0.00,0.08,75,108.9,3.02,1.06
TEL-000125,PLAYER113,CTRL-0125,ZCT1W-M4678901,2024-06-07,RIGHT_STICK_DRIFT,HIGH,0.65,0.50,0.13,91,51.0,3.02,1.06
TEL-000126,PLAYER113,CTRL-0126,ZCT2E-A2785812,2024-04-28,RIGHT_STICK_DRIFT,MEDIUM,0.86,0.77,0.14,65,77.6,3.02,1.06
TEL-000127,PLAYER114,CTRL-0127,ZCT2E-W4458774,2024-04-27,DISCONNECT_FIRMWARE,MEDIUM,0.07,0.00,0.53,66,112.4,3.00,1.06
TEL-000128,PLAYER115,CTRL-0128,ZCT2E-G7634775,2024-06-01,BATTERY_DEGRADATION,MEDIUM,0.23,0.16,0.29,93,70.6,3.02,1.06
TEL-000129,PLAYER116,CTRL-0129,ZCT2E-M3488634,2024-05-29,NONE,LOW,0.05,0.00,0.14,91,69.1,3.02,1.06
TEL-000130,PLAYER117,CTRL-0130,ZCT1W-Q4104255,2024-04-12,NONE,LOW,0.15,0.04,0.13,69,8.5,3.02,1.06
TEL-000131,PLAYER118,CTRL-0131,ZCT2E-F5731917,2024-06-07,NONE,LOW,0.16,0.00,0.04,79,53.8,3.02,1.06
TEL-000132,PLAYER119,CTRL-0132,ZCT1W-N4151566,2024-04-20,NONE,LOW,0.21,0.11,0.07,80,92.9,3.02,1.06
TEL-000133,PLAYER120,CTRL-0133,ZCT1W-Q7752901,2024-05-15,RIGHT_STICK_DRIFT,MEDIUM,0.90,0.73,0.03,75,36.9,3.02,1.06
TEL-000134,PLAYER121,CTRL-0134,ZCT1W-V2673190,2024-04-28,DISCONNECT_FIRMWARE,MEDIUM,0.15,0.07,0.88,85,43.4,3.01,1.06
TEL-000135,PLAYER122,CTRL-0135,ZCT1W-W1733836,2024-05-29,RIGHT_STICK_DRIFT,HIGH,0.63,0.51,0.04,85,16.2,3.02,1.06
TEL-000136,PLAYER123,CTRL-0136,ZCT1W-W1226440,2024-05-22,NONE,LOW,0.04,0.00,0.07,89,28.1,3.02,1.06
TEL-000137,PLAYER123,CTRL-0137,ZCT1W-T6677240,2024-04-13,NONE,LOW,0.06,0.00,0.06,91,74.9,3.02,1.06
TEL-000138,PLAYER124,CTRL-0138,ZCT1W-R8454556,2024-04-17,DISCONNECT_FIRMWARE,MEDIUM,0.23,0.15,0.68,66,41.4,2.98,1.06
TEL-000139,PLAYER125,CTRL-0139,ZCT2E-E5090433,2024-05-01,NONE,LOW,0.18,0.09,0.13,91,40.1,3.02,1.06
TEL-000140,PLAYER126,CTRL-0140,ZCT1W-A1747019,2024-04-08,RIGHT_STICK_MODULE,MEDIUM,0.68,0.63,0.15,88,67.9,3.02,1.06
TEL-000141,PLAYER127,CTRL-0141,ZCT2E-D9582257,2024-04-24,DISCONNECT_FIRMWARE,MEDIUM,0.28,0.09,0.59,92,85.5,2.98,1.06
TEL-000142,PLAYER128,CTRL-0142,ZCT1W-H1402667,2024-06-07,DISCONNECT_FIRMWARE,MEDIUM,0.17,0.11,0.48,80,11.8,3.01,1.06
TEL-000143,PLAYER129,CTRL-0143,ZCT2E-W5812480,2024-05-23,NONE,LOW,0.05,0.00,0.11,70,68.3,3.02,1.06
TEL-000144,PLAYER130,CTRL-0144,ZCT1W-R3844728,2024-05-22,NONE,LOW,0.04,0.00,0.06,73,75.8,3.02,1.06
TEL-000145,PLAYER130,CTRL-0145,ZCT2E-M2279932,2024-04-17,NONE,LOW,0.14,0.09,0.06,76,91.1,3.02,1.06
TEL-000146,PLAYER131,CTRL-0146,ZCT1W-B3535087,2024-04-20,RIGHT_STICK_MODULE,MEDIUM,0.55,0.46,0.22,87,77.3,3.02,1.06
TEL-000147,PLAYER131,CTRL-0147,ZCT2E-V4042807,2024-05-24,RIGHT_STICK_MODULE,MEDIUM,0.52,0.34,0.18,66,63.1,3.02,1.06
TEL-000148,PLAYER132,CTRL-0148,ZCT2E-V5815154,2024-06-07,BATTERY_DEGRADATION,MEDIUM,0.10,0.00,0.12,91,97.7,3.02,1.06
TEL-000149,PLAYER133,CTRL-0149,ZCT2E-X7192680,2024-05-17,DISCONNECT_FIRMWARE,MEDIUM,0.15,0.05,0.59,66,93.2,3.01,1.06
TEL-000150,PLAYER134,CTRL-0150,ZCT1W-E3459356,2024-04-27,NONE,LOW,0.06,0.01,0.12,71,50.9,3.02,1.06
TEL-000151,PLAYER135,CTRL-0151,ZCT2E-C2898577,2024-04-28,NONE,LOW,0.18,0.12,0.11,81,110.5,3.02,1.06
TEL-000152,PLAYER135,CTRL-0152,ZCT1W-L3139694,2024-05-29,NONE,LOW,0.16,0.00,0.05,88,81.9,3.02,1.06
TEL-000153,PLAYER136,CTRL-0153,ZCT2E-R8110722,2024-04-09,NONE,LOW,0.06,0.00,0.06,75,116.7,3.02,1.06
TEL-000154,PLAYER137,CTRL-0154,ZCT2E-E5125653,2024-05-26,NONE,LOW,0.08,0.00,0.07,92,88.9,3.02,1.06
TEL-000155,PLAYER138,CTRL-0155,ZCT2E-T9996153,2024-05-21,NONE,LOW,0.17,0.11,0.03,71,118.4,3.02,1.06
TEL-000156,PLAYER139,CTRL-0156,ZCT2E-S4679813,2024-05-16,RIGHT_STICK_DRIFT,MEDIUM,0.69,0.53,0.03,91,62.6,3.02,1.06
TEL-000157,PLAYER140,CTRL-0157,ZCT1W-G1287807,2024-06-08,DISCONNECT_FIRMWARE,MEDIUM,0.35,0.29,0.47,86,21.2,2.98,1.06
TEL-000158,PLAYER141,CTRL-0158,ZCT1W-D1999542,2024-04-19,NONE,LOW,0.13,0.00,0.11,92,39.6,3.02,1.06
TEL-000159,PLAYER142,CTRL-0159,ZCT1W-K8724035,2024-05-06,NONE,LOW,0.04,0.00,0.04,70,51.7,3.02,1.06
TEL-000160,PLAYER143,CTRL-0160,ZCT1W-H1937270,2024-04-20,RIGHT_STICK_DRIFT,HIGH,0.63,0.50,0.12,76,97.6,3.02,1.06
TEL-000161,PLAYER144,CTRL-0161,ZCT1W-N1442027,2024-05-08,RIGHT_STICK_DRIFT,HIGH,0.67,0.61,0.05,96,97.5,3.02,1.06
TEL-000162,PLAYER144,CTRL-0162,ZCT1W-D2237660,2024-04-28,RIGHT_STICK_DRIFT,HIGH,0.65,0.50,0.08,80,114.6,3.02,1.06
TEL-000163,PLAYER145,CTRL-0163,ZCT1W-M3370243,2024-05-24,NONE,LOW,0.17,0.01,0.05,95,14.4,3.02,1.06
TEL-000164,PLAYER146,CTRL-0164,ZCT2E-E4060575,2024-04-25,RIGHT_STICK_DRIFT,MEDIUM,0.92,0.80,0.18,67,51.7,3.02,1.06
TEL-000165,PLAYER147,CTRL-0165,ZCT2E-R7904201,2024-04-17,NONE,LOW,0.19,0.03,0.09,83,55.2,3.02,1.06
TEL-000166,PLAYER147,CTRL-0166,ZCT1W-K2866744,2024-06-09,NONE,LOW,0.18,0.11,0.15,78,35.8,3.02,1.06
TEL-000167,PLAYER148,CTRL-0167,ZCT1W-S3690206,2024-05-26,NONE,LOW,0.21,0.01,0.06,69,51.0,3.02,1.06
TEL-000168,PLAYER149,CTRL-0168,ZCT2E-T5329433,2024-05-16,NONE,LOW,0.03,0.00,0.06,93,8.7,3.02,1.06
