session_id,player_id,controller_id,controller_serial,session_start_at,session_end_at,session_minutes,game_title,input_anomaly_count,disconnect_count,battery_start_percent,battery_end_percent
SESS-0000024,PLAYER818,CTRL-0933,ZCT2E-A8287708,2024-05-23T20:17:00Z,2024-05-23T21:03:00Z,46,Street Fighter 6,4,0,84,69
SESS-0000025,PLAYER818,CTRL-0934,ZCT1W-G2591255,2024-04-29T06:35:00Z,2024-04-29T08:00:00Z,85,EA FC 24,4,0,79,53
SESS-0000026,PLAYER573,CTRL-0649,ZCT1W-E5904531,2024-06-07T05:12:00Z,2024-06-07T08:47:00Z,215,EA FC 24,4,1,72,45
SESS-0000027,PLAYER627,CTRL-0709,ZCT1W-T6847188,2024-04-15T18:38:00Z,2024-04-15T19:28:00Z,50,Spider-Man 2,12,3,69,56
SESS-0000028,PLAYER632,CTRL-0714,ZCT1W-N3091268,2024-05-22T05:35:00Z,2024-05-22T07:59:00Z,144,Call of Duty,7,1,94,69
SESS-0000029,PLAYER393,CTRL-0443,ZCT2E-P6945304,2024-04-10T15:19:00Z,2024-04-10T18:15:00Z,176,Gran Turismo 7,6,0,87,52
SESS-0000030,PLAYER662,CTRL-0748,ZCT2E-C7130767,2024-06-05T16:24:00Z,2024-06-05T19:06:00Z,162,Fortnite,1,0,92,84
SESS-0000031,PLAYER515,CTRL-0584,ZCT2E-X9064003,2024-06-01T13:30:00Z,2024-06-01T14:48:00Z,78,Street Fighter 6,1,1,81,62
SESS-0000032,PLAYER209,CTRL-0234,ZCT2E-H2670640,2024-05-25T07:17:00Z,2024-05-25T10:39:00Z,202,EA FC 24,0,1,72,44
SESS-0000033,PLAYER846,CTRL-0968,ZCT1W-C7045114,2024-05-29T09:53:00Z,2024-05-29T13:37:00Z,224,God of War Ragnarök,2,0,70,61
SESS-0000034,PLAYER662,CTRL-0749,ZCT1W-D4810526,2024-06-05T03:32:00Z,2024-06-05T06:40:00Z,188,Gran Turismo 7,1,1,87,74
SESS-0000035,PLAYER113,CTRL-0126,ZCT2E-A2785812,2024-04-09T12:55:00Z,2024-04-09T14:57:00Z,122,Astro Bot,15,0,78,71
SESS-0000036,PLAYER484,CTRL-0547,ZCT2E-T6883514,2024-05-29T04:26:00Z,2024-05-29T07:05:00Z,159,Spider-Man 2,3,1,81,62
SESS-0000037,PLAYER478,CTRL-0540,ZCT1W-E2389566,2024-05-16T12:03:00Z,2024-05-16T14:41:00Z,158,Street Fighter 6,2,1,71,50
SESS-0000038,PLAYER713,CTRL-0812,ZCT1W-G5174163,2024-04-28T15:31:00Z,2024-04-28T16:01:00Z,30,Spider-Man 2,19,0,68,40
SESS-0000039,PLAYER775,CTRL-0887,ZCT1W-B6561791,2024-05-19T07:37:00Z,2024-05-19T10:49:00Z,192,God of War Ragnarök,1,1,67,37
SESS-0000040,PLAYER686,CTRL-0779,ZCT2E-X1430177,2024-04-27T13:59:00Z,2024-04-27T16:31:00Z,152,Astro Bot,16,2,90,79
SESS-0000041,PLAYER188,CTRL-0211,ZCT1W-T4331283,2024-05-04T22:55:00Z,2024-05-04T23:32:00Z,37,Helldivers 2,4,1,61,36
SESS-0000042,PLAYER076,CTRL-0083,ZCT2E-F3346703,2024-05-25T01:59:00Z,2024-05-25T03:56:00Z,117,Helldivers 2,4,1,85,50
SESS-0000043,PLAYER618,CTRL-0697,ZCT2E-R1805827,2024-04-15T13:33:00Z,2024-04-15T16:51:00Z,198,God of War Ragnarök,3,0,61,26
SESS-0000044,PLAYER869,CTRL-0993,ZCT2E-C5697262,2024-06-05T09:44:00Z,2024-06-05T12:06:00Z,142,Street Fighter 6,20,1,75,63
SESS-0000045,PLAYER775,CTRL-0887,ZCT1W-B6561791,2024-04-16T14:09:00Z,2024-04-16T17:15:00Z,186,The Last of Us Part I,1,0,62,42
SESS-0000046,PLAYER259,CTRL-0293,ZCT2E-A8989988,2024-05-24T23:03:00Z,2024-05-25T00:35:00Z,92,Spider-Man 2,15,1,98,80
SESS-0000047,PLAYER253,CTRL-0285,ZCT1W-X4454281,2024-04-09T03:22:00Z,2024-04-09T07:16:00Z,234,Helldivers 2,17,5,83,60
SESS-0000048,PLAYER031,CTRL-0034,ZCT2E-C9705716,2024-06-04T01:09:00Z,2024-06-04T02:28:00Z,79,The Last of Us Part I,1,0,77,69
SESS-0000049,PLAYER153,CTRL-0173,ZCT2E-W8117262,2024-06-08T18:26:00Z,2024-06-08T21:14:00Z,168,Street Fighter 6,11,0,98,78
SESS-0000050,PLAYER096,CTRL-0105,ZCT1W-L7049339,2024-04-16T21:01:00Z,2024-04-16T23:37:00Z,156,Helldivers 2,2,0,75,51
SESS-0000051,PLAYER336,CTRL-0378,ZCT2E-J1502947,2024-04-25T06:21:00Z,2024-04-25T07:54:00Z,93,Call of Duty,2,0,65,31
SESS-0000052,PLAYER545,CTRL-0617,ZCT2E-K6290495,2024-04-28T02:02:00Z,2024-04-28T04:50:00Z,168,Street Fighter 6,0,0,89,80
SESS-0000053,PLAYER255,CTRL-0288,ZCT2E-K8617224,2024-04-27T09:42:00Z,2024-04-27T11:59:00Z,137,Street Fighter 6,13,6,88,59
SESS-0000054,PLAYER940,CTRL-1078,ZCT1W-J2802906,2024-05-31T21:42:00Z,2024-05-31T22:38:00Z,56,Gran Turismo 7,11,1,95,80
SESS-0000055,PLAYER464,CTRL-0525,ZCT2E-P8913629,2024-06-02T00:41:00Z,2024-06-02T01:58:00Z,77,God of War Ragnarök,6,1,63,50
SESS-0000056,PLAYER200,CTRL-0224,ZCT2E-S1547533,2024-05-22T05:15:00Z,2024-05-22T06:24:00Z,69,Fortnite,13,1,62,54
SESS-0000057,PLAYER996,CTRL-1145,ZCT2E-D3482557,2024-05-17T18:16:00Z,2024-05-17T19:11:00Z,55,EA FC 24,1,1,66,32
SESS-0000058,PLAYER047,CTRL-0052,ZCT2E-J3455003,2024-05-08T12:47:00Z,2024-05-08T14:06:00Z,79,Helldivers 2,15,2,87,80
SESS-0000059,PLAYER893,CTRL-1021,ZCT1W-C5251915,2024-04-15T19:57:00Z,2024-04-15T23:19:00Z,202,The Last of Us Part I,9,1,73,38
SESS-0000060,PLAYER105,CTRL-0116,ZCT2E-S7444974,2024-05-30T00:06:00Z,2024-05-30T02:15:00Z,129,Gran Turismo 7,4,1,96,82
SESS-0000061,PLAYER702,CTRL-0799,ZCT2E-M5421758,2024-04-22T01:53:00Z,2024-04-22T04:48:00Z,175,The Last of Us Part I,1,1,60,45
SESS-0000062,PLAYER096,CTRL-0105,ZCT1W-L7049339,2024-05-18T15:59:00Z,2024-05-18T17:30:00Z,91,Spider-Man 2,3,1,85,78
SESS-0000063,PLAYER917,CTRL-1053,ZCT1W-U3763756,2024-06-05T22:07:00Z,2024-06-06T00:32:00Z,145,Fortnite,10,0,90,63
SESS-0000064,PLAYER133,CTRL-0149,ZCT2E-X7192680,2024-04-19T04:03:00Z,2024-04-19T06:05:00Z,122,Spider-Man 2,13,2,99,94
SESS-0000065,PLAYER643,CTRL-0727,ZCT2E-J6386706,2024-05-30T20:39:00Z,2024-05-30T23:48:00Z,189,Fortnite,16,2,85,53
SESS-0000066,PLAYER414,CTRL-0468,ZCT1W-S4593496,2024-05-08T01:32:00Z,2024-05-08T05:13:00Z,221,Spider-Man 2,2,1,62,34
SESS-0000067,PLAYER288,CTRL-0324,ZCT2E-K1085400,2024-05-31T06:09:00Z,2024-05-31T08:14:00Z,125,Astro Bot,2,6,82,50
SESS-0000068,PLAYER927,CTRL-1063,ZCT1W-R6655184,2024-05-16T16:16:00Z,2024-05-16T20:08:00Z,232,Street Fighter 6,14,1,60,27
SESS-0000069,PLAYER196,CTRL-0219,ZCT2E-S6634235,2024-06-10T02:28:00Z,2024-06-10T04:48:00Z,140,Street Fighter 6,13,0,78,53
SESS-0000070,PLAYER356,CTRL-0402,ZCT1W-N7453578,2024-05-30T12:39:00Z,2024-05-30T16:02:00Z,203,Fortnite,4,0,82,77
SESS-0000071,PLAYER556,CTRL-0630,ZCT1W-M1381170,2024-04-23T12:22:00Z,2024-04-23T13:14:00Z,52,God of War Ragnarök,4,1,67,32
SESS-0000072,PLAYER101,CTRL-0112,ZCT2E-C9100385,2024-05-01T00:18:00Z,2024-05-01T03:32:00Z,194,EA FC 24,3,0,87,72
SESS-0000073,PLAYER376,CTRL-0424,ZCT2E-W7286684,2024-05-12T14:48:00Z,2024-05-12T16:43:00Z,115,Street Fighter 6,15,3,75,57
SESS-0000074,PLAYER455,CTRL-0514,ZCT2E-A6329920,2024-06-05T21:01:00Z,2024-06-05T22:16:00Z,75,Fortnite,2,1,83,48
SESS-0000075,PLAYER262,CTRL-0296,ZCT2E-M2641024,2024-05-07T15:03:00Z,2024-05-07T17:01:00Z,118,Street Fighter 6,7,0,79,51
SESS-0000076,PLAYER443,CTRL-0500,ZCT1W-G9217672,2024-04-20T09:56:00Z,2024-04-20T13:45:00Z,229,Gran Turismo 7,10,0,80,54
SESS-0000077,PLAYER900,CTRL-1032,ZCT2E-C9423380,2024-05-28T12:48:00Z,2024-05-28T13:28:00Z,40,Gran Turismo 7,16,2,95,80
SESS-0000078,PLAYER015,CTRL-0016,ZCT2E-L8087324,2024-04-10T22:05:00Z,2024-04-11T00:39:00Z,154,Call of Duty,9,5,94,70
SESS-0000079,PLAYER033,CTRL-0036,ZCT2E-L3064357,2024-06-06T05:19:00Z,2024-06-06T08:34:00Z,195,Astro Bot,5,0,81,74
SESS-0000080,PLAYER671,CTRL-0759,ZCT1W-J6227870,2024-04-18T23:26:00Z,2024-04-19T02:54:00Z,208,Fortnite,0,0,65,36
SESS-0000081,PLAYER573,CTRL-0649,ZCT1W-E5904531,2024-04-09T16:14:00Z,2024-04-09T18:03:00Z,109,The Last of Us Part I,0,0,100,84
SESS-0000082,PLAYER234,CTRL-0262,ZCT2E-M3433361,2024-04-20T20:26:00Z,2024-04-20T23:10:00Z,164,Helldivers 2,6,1,92,76
SESS-0000083,PLAYER804,CTRL-0918,ZCT2E-V4121650,2024-04-09T03:00:00Z,2024-04-09T04:12:00Z,72,Spider-Man 2,4,0,88,61
SESS-0000084,PLAYER666,CTRL-0754,ZCT1W-T7084360,2024-05-16T15:36:00Z,2024-05-16T16:13:00Z,37,Call of Duty,2,0,92,61
SESS-0000085,PLAYER680,CTRL-0771,ZCT1W-W2764796,2024-04-21T17:27:00Z,2024-04-21T19:24:00Z,117,EA FC 24,12,6,93,86
SESS-0000086,PLAYER747,CTRL-0854,ZCT1W-C9354503,2024-05-12T21:02:00Z,2024-05-12T23:16:00Z,134,Helldivers 2,0,0,63,39
SESS-0000087,PLAYER282,CTRL-0318,ZCT2E-J6189583,2024-05-03T08:49:00Z,2024-05-03T10:53:00Z,124,Spider-Man 2,4,1,80,71
SESS-0000088,PLAYER251,CTRL-0282,ZCT1W-S9851473,2024-04-20T15:53:00Z,2024-04-20T16:49:00Z,56,EA FC 24,12,3,85,59
SESS-0000089,PLAYER196,CTRL-0219,ZCT2E-S6634235,2024-06-08T10:54:00Z,2024-06-08T12:35:00Z,101,Gran Turismo 7,10,0,77,62
SESS-0000090,PLAYER898,CTRL-1029,ZCT1W-Q7372844,2024-05-02T05:19:00Z,2024-05-02T07:53:00Z,154,Gran Turismo 7,16,1,87,77
SESS-0000091,PLAYER215,CTRL-0240,ZCT1W-N5370124,2024-05-04T13:08:00Z,2024-05-04T14:22:00Z,74,Astro Bot,7,0,89,81
SESS-0000092,PLAYER693,CTRL-0788,ZCT2E-Q7064346,2024-06-01T07:45:00Z,2024-06-01T10:18:00Z,153,Call of Duty,3,1,80,52
SESS-0000093,PLAYER926,CTRL-1062,ZCT2E-K8883813,2024-04-30T21:11:00Z,2024-05-01T01:09:00Z,238,Spider-Man 2,5,0,63,41
SESS-0000094,PLAYER302,CTRL-0340,ZCT1W-K9077690,2024-04-25T20:01:00Z,2024-04-25T21:39:00Z,98,Gran Turismo 7,4,0,71,60
SESS-0000095,PLAYER527,CTRL-0597,ZCT1W-Q6446430,2024-06-05T09:55:00Z,2024-06-05T11:50:00Z,115,Gran Turismo 7,4,6,67,45
SESS-0000096,PLAYER590,CTRL-0667,ZCT2E-K1161102,2024-06-03T02:17:00Z,2024-06-03T05:00:00Z,163,Astro Bot,0,1,87,53
SESS-0000097,PLAYER985,CTRL-1134,ZCT2E-J7616924,2024-06-07T19:13:00Z,2024-06-07T19:55:00Z,42,Spider-Man 2,17,1,85,67
SESS-0000098,PLAYER410,CTRL-0463,ZCT1W-L1643521,2024-04-13T20:17:00Z,2024-04-13T21:38:00Z,81,God of War Ragnarök,2,0,82,65
SESS-0000099,PLAYER321,CTRL-0362,ZCT1W-H2768852,2024-04-16T03:30:00Z,2024-04-16T04:48:00Z,78,Helldivers 2,2,0,85,72
SESS-0000100,PLAYER243,CTRL-0273,ZCT1W-T6254198,2024-06-08T16:28:00Z,2024-06-08T17:04:00Z,36,Gran Turismo 7,20,1,94,74
SESS-0000101,PLAYER023,CTRL-0025,ZCT2E-U8278315,2024-06-08T23:31:00Z,2024-06-09T00:18:00Z,47,EA FC 24,1,0,75,48
SESS-0000102,PLAYER094,CTRL-0103,ZCT1W-P4101100,2024-05-09T04:24:00Z,2024-05-09T06:53:00Z,149,Call of Duty,4,1,66,42
SESS-0000103,PLAYER403,CTRL-0456,ZCT1W-G9534539,2024-04-26T13:49:00Z,2024-04-26T16:21:00Z,152,EA FC 24,6,1,65,54
SESS-0000104,PLAYER952,CTRL-1094,ZCT2E-J5173595,2024-05-17T19:00:00Z,2024-05-17T22:43:00Z,223,Gran Turismo 7,1,1,82,68
SESS-0000105,PLAYER975,CTRL-1120,ZCT2E-W3469105,2024-04-22T06:01:00Z,2024-04-22T09:30:00Z,209,Spider-Man 2,8,1,90,79
SESS-0000106,PLAYER236,CTRL-0265,ZCT1W-D5664879,2024-05-11T21:57:00Z,2024-05-12T00:21:00Z,144,Call of Duty,8,2,77,71
SESS-0000107,PLAYER349,CTRL-0394,ZCT2E-H8441397,2024-05-01T00:37:00Z,2024-05-01T03:31:00Z,174,Call of Duty,4,0,70,52
SESS-0000108,PLAYER273,CTRL-0309,ZCT1W-U5876441,2024-05-17T21:52:00Z,2024-05-18T00:04:00Z,132,EA FC 24,12,1,96,61
SESS-0000109,PLAYER865,CTRL-0989,ZCT2E-R5787252,2024-04-26T14:33:00Z,2024-04-26T18:29:00Z,236,EA FC 24,0,0,66,48
SESS-0000110,PLAYER984,CTRL-1132,ZCT1W-E7340529,2024-05-27T20:10:00Z,2024-05-27T20:58:00Z,48,God of War Ragnarök,17,1,68,42
SESS-0000111,PLAYER028,CTRL-0030,ZCT1W-A9044647,2024-04-16T06:53:00Z,2024-04-16T07:25:00Z,32,EA FC 24,8,0,92,59
SESS-0000112,PLAYER156,CTRL-0176,ZCT1W-W1543024,2024-04-15T20:01:00Z,2024-04-15T20:47:00Z,46,Helldivers 2,2,2,99,67
SESS-0000113,PLAYER530,CTRL-0600,ZCT1W-W9278722,2024-05-21T12:34:00Z,2024-05-21T13:43:00Z,69,Fortnite,4,1,87,60
SESS-0000114,PLAYER759,CTRL-0868,ZCT1W-W1590477,2024-06-06T22:54:00Z,2024-06-07T01:50:00Z,176,Astro Bot,11,4,64,52
SESS-0000115,PLAYER819,CTRL-0935,ZCT2E-L4317803,2024-04-21T09:31:00Z,2024-04-21T10:05:00Z,34,The Last of Us Part I,3,0,60,50
SESS-0000116,PLAYER439,CTRL-0495,ZCT2E-R5771825,2024-05-03T10:09:00Z,2024-05-03T13:05:00Z,176,Gran Turismo 7,15,6,60,30
SESS-0000117,PLAYER197,CTRL-0221,ZCT2E-N5781975,2024-05-13T16:11:00Z,2024-05-13T19:52:00Z,221,EA FC 24,10,0,67,57
SESS-0000118,PLAYER059,CTRL-0065,ZCT2E-A8113264,2024-05-14T11:44:00Z,2024-05-14T14:24:00Z,160,The Last of Us Part I,0,0,80,52
SESS-0000119,PLAYER849,CTRL-0971,ZCT1W-Q3668591,2024-05-26T07:52:00Z,2024-05-26T08:50:00Z,58,God of War Ragnarök,0,0,68,53
SESS-0000120,PLAYER878,CTRL-1002,ZCT2E-G4939600,2024-04-12T01:46:00Z,2024-04-12T04:05:00Z,139,Astro Bot,5,0,68,51
SESS-0000121,PLAYER751,CTRL-0858,ZCT1W-X9449329,2024-04-16T23:33:00Z,2024-04-17T01:16:00Z,103,Gran Turismo 7,1,1,80,58
SESS-0000122,PLAYER493,CTRL-0558,ZCT2E-S5512234,2024-04-15T19:07:00Z,2024-04-15T20:52:00Z,105,EA FC 24,2,0,74,67
SESS-0000123,PLAYER958,CTRL-1101,ZCT1W-C1839952,2024-05-05T18:16:00Z,2024-05-05T19:28:00Z,72,EA FC 24,19,4,72,60
SESS-0000124,PLAYER040,CTRL-0045,ZCT2E-J7405244,2024-05-18T10:05:00Z,2024-05-18T12:29:00Z,144,Fortnite,1,1,83,72
SESS-0000125,PLAYER894,CTRL-1023,ZCT2E-M4497183,2024-05-03T00:54:00Z,2024-05-03T03:23:00Z,149,God of War Ragnarök,2,1,79,74
SESS-0000126,PLAYER351,CTRL-0396,ZCT1W-B6815577,2024-04-09T16:38:00Z,2024-04-09T18:38:00Z,120,Spider-Man 2,13,6,79,52
SESS-0000127,PLAYER234,CTRL-0263,ZCT2E-A6517512,2024-04-18T18:04:00Z,2024-04-18T19:14:00Z,70,EA FC 24,11,0,93,60
SESS-0000128,PLAYER604,CTRL-0683,ZCT1W-Q5600435,2024-06-05T10:43:00Z,2024-06-05T13:45:00Z,182,Gran Turismo 7,10,1,64,58
SESS-0000129,PLAYER025,CTRL-0027,ZCT1W-W7297691,2024-06-04T06:09:00Z,2024-06-04T07:09:00Z,60,Gran Turismo 7,2,0,75,63
SESS-0000130,PLAYER889,CTRL-1016,ZCT2E-P2785542,2024-05-17T04:54:00Z,2024-05-17T07:55:00Z,181,Helldivers 2,0,0,74,58
SESS-0000131,PLAYER193,CTRL-0216,ZCT2E-G6839906,2024-04-10T22:33:00Z,2024-04-10T23:05:00Z,32,Helldivers 2,8,2,66,49
SESS-0000132,PLAYER673,CTRL-0761,ZCT1W-N3675009,2024-06-02T20:17:00Z,2024-06-02T20:49:00Z,32,Astro Bot,3,0,62,42
SESS-0000133,PLAYER937,CTRL-1075,ZCT2E-S8054705,2024-05-13T20:32:00Z,2024-05-13T22:57:00Z,145,EA FC 24,4,1,65,51
SESS-0000134,PLAYER116,CTRL-0129,ZCT2E-M3488634,2024-05-14T22:52:00Z,2024-05-15T00:57:00Z,125,Helldivers 2,4,1,80,52
SESS-0000135,PLAYER794,CTRL-0908,ZCT2E-T4236382,2024-05-10T06:21:00Z,2024-05-10T08:08:00Z,107,Gran Turismo 7,2,0,100,72
SESS-0000136,PLAYER080,CTRL-0087,ZCT2E-D8064807,2024-06-08T07:58:00Z,2024-06-08T10:20:00Z,142,Spider-Man 2,4,1,70,42
SESS-0000137,PLAYER643,CTRL-0727,ZCT2E-J6386706,2024-05-15T11:10:00Z,2024-05-15T13:24:00Z,134,Helldivers 2,8,5,87,77
SESS-0000138,PLAYER655,CTRL-0740,ZCT2E-E6501987,2024-05-03T00:49:00Z,2024-05-03T04:06:00Z,197,Astro Bot,4,0,63,49
SESS-0000139,PLAYER768,CTRL-0879,ZCT2E-Q7848595,2024-05-04T08:47:00Z,2024-05-04T11:40:00Z,173,Helldivers 2,3,0,60,51
SESS-0000140,PLAYER001,CTRL-001,ZCT1W-0A1B2C3D,2024-05-02T19:48:00Z,2024-05-02T22:54:00Z,186,Spider-Man 2,8,1,77,69
SESS-0000141,PLAYER844,CTRL-0966,ZCT1W-S1937161,2024-05-21T16:14:00Z,2024-05-21T19:30:00Z,196,Astro Bot,2,1,99,86
SESS-0000142,PLAYER226,CTRL-0252,ZCT2E-R4342651,2024-04-30T05:03:00Z,2024-04-30T07:10:00Z,127,Call of Duty,0,1,62,43
SESS-0000143,PLAYER215,CTRL-0240,ZCT1W-N5370124,2024-04-17T10:52:00Z,2024-04-17T14:46:00Z,234,God of War Ragnarök,2,0,61,54
SESS-0000144,PLAYER960,CTRL-1104,ZCT1W-H2548050,2024-04-27T20:25:00Z,2024-04-27T23:41:00Z,196,Gran Turismo 7,3,0,69,53
SESS-0000145,PLAYER318,CTRL-0359,ZCT2E-E6437103,2024-04-11T06:00:00Z,2024-04-11T07:06:00Z,66,God of War Ragnarök,19,2,83,66
SESS-0000146,PLAYER101,CTRL-0112,ZCT2E-C9100385,2024-05-05T11:26:00Z,2024-05-05T12:52:00Z,86,Call of Duty,4,1,63,57
SESS-0000147,PLAYER498,CTRL-0563,ZCT1W-F7006319,2024-04-14T13:47:00Z,2024-04-14T15:13:00Z,86,Helldivers 2,0,1,80,59
SESS-0000148,PLAYER219,CTRL-0244,ZCT2E-G7556539,2024-04-22T02:35:00Z,2024-04-22T03:16:00Z,41,God of War Ragnarök,2,0,67,58
SESS-0000149,PLAYER372,CTRL-0419,ZCT2E-J1270418,2024-04-20T16:29:00Z,2024-04-20T19:02:00Z,153,Street Fighter 6,0,0,69,64
SESS-0000150,PLAYER113,CTRL-0126,ZCT2E-A2785812,2024-05-06T12:18:00Z,2024-05-06T16:17:00Z,239,Street Fighter 6,14,1,67,58
SESS-0000151,PLAYER721,CTRL-0821,ZCT1W-L7455092,2024-04-30T10:22:00Z,2024-04-30T11:11:00Z,49,Helldivers 2,0,1,85,62
SESS-0000152,PLAYER184,CTRL-0207,ZCT2E-P9804312,2024-05-21T05:19:00Z,2024-05-21T08:47:00Z,208,Helldivers 2,4,1,68,50
SESS-0000153,PLAYER994,CTRL-1143,ZCT1W-P9110038,2024-04-20T04:31:00Z,2024-04-20T08:30:00Z,239,Gran Turismo 7,0,1,82,57
SESS-0000154,PLAYER836,CTRL-0956,ZCT1W-G9782909,2024-05-03T22:28:00Z,2024-05-04T02:01:00Z,213,Gran Turismo 7,16,3,62,52
SESS-0000155,PLAYER225,CTRL-0251,ZCT2E-E4686979,2024-06-07T08:43:00Z,2024-06-07T10:44:00Z,121,Gran Turismo 7,18,1,66,44
SESS-0000156,PLAYER131,CTRL-0147,ZCT2E-V4042807,2024-04-30T00:49:00Z,2024-04-30T02:37:00Z,108,Spider-Man 2,16,0,91,74
SESS-0000157,PLAYER355,CTRL-0400,ZCT1W-J5663517,2024-05-19T12:54:00Z,2024-05-19T15:51:00Z,177,Helldivers 2,19,5,86,54
SESS-0000158,PLAYER533,CTRL-0604,ZCT2E-P7723294,2024-05-01T05:12:00Z,2024-05-01T09:05:00Z,233,EA FC 24,4,1,98,78
SESS-0000159,PLAYER791,CTRL-0905,ZCT1W-K7386601,2024-05-28T22:05:00Z,2024-05-29T00:24:00Z,139,Street Fighter 6,1,1,82,55
SESS-0000160,PLAYER222,CTRL-0248,ZCT2E-V1084130,2024-04-19T11:56:00Z,2024-04-19T14:28:00Z,152,Spider-Man 2,4,1,72,49
SESS-0000161,PLAYER128,CTRL-0142,ZCT1W-H1402667,2024-05-22T13:49:00Z,2024-05-22T16:51:00Z,182,The Last of Us Part I,7,6,73,46
SESS-0000162,PLAYER896,CTRL-1026,ZCT1W-P6889724,2024-05-24T14:39:00Z,2024-05-24T16:08:00Z,89,Call of Duty,10,0,71,45
SESS-0000163,PLAYER901,CTRL-1034,ZCT2E-F8578703,2024-05-13T11:26:00Z,2024-05-13T12:37:00Z,71,The Last of Us Part I,15,2,94,89
SESS-0000164,PLAYER686,CTRL-0779,ZCT2E-X1430177,2024-06-02T18:03:00Z,2024-06-02T19:15:00Z,72,Astro Bot,16,2,68,60
SESS-0000165,PLAYER939,CTRL-1077,ZCT1W-E4038433,2024-05-19T20:09:00Z,2024-05-19T21:39:00Z,90,Fortnite,3,1,79,69
