controller_id,player_id,controller_serial,controller_model,product_code,purchase_date,registration_date,warranty_status,warranty_expiry_date,warranty_months,asset_status
CTRL-0023,PLAYER022,ZCT2E-X3822312,DualSense Wireless Controller,DS-STANDARD,2021-07-16,2021-07-27,OUT_OF_WARRANTY,2022-07-16,12,Purchased
CTRL-0024,PLAYER022,ZCT2E-F1880336,DualSense Wireless Controller,DS-STANDARD,2023-11-22,2023-12-12,IN_WARRANTY,2024-11-21,12,Purchased
CTRL-0025,PLAYER023,ZCT2E-U8278315,DualSense Wireless Controller,DS-STANDARD,2023-04-08,2023-04-15,OUT_OF_WARRANTY,2024-04-07,12,Purchased
CTRL-0026,PLAYER024,ZCT1W-D5040883,DualSense Wireless Controller,DS-STANDARD,2022-09-12,2022-10-04,OUT_OF_WARRANTY,2023-09-12,12,Purchased
CTRL-0027,PLAYER025,ZCT1W-W7297691,DualSense Wireless Controller,DS-STANDARD,2021-07-03,2021-07-27,OUT_OF_WARRANTY,2022-07-03,12,Purchased
CTRL-0028,PLAYER026,ZCT2E-W7410589,DualSense Wireless Controller,DS-STANDARD,2023-07-01,2023-07-12,IN_WARRANTY,2024-06-30,12,Purchased
CTRL-0029,PLAYER027,ZCT1W-D2956687,DualSense Wireless Controller,DS-STANDARD,2023-09-29,2023-10-19,IN_WARRANTY,2024-09-28,12,Purchased
CTRL-0030,PLAYER028,ZCT1W-A9044647,DualSense Wireless Controller,DS-STANDARD,2021-07-13,2021-08-07,OUT_OF_WARRANTY,2022-07-13,12,Purchased
CTRL-0031,PLAYER029,ZCT1W-N9123384,DualSense Wireless Controller,DS-STANDARD,2023-06-08,2023-06-17,OUT_OF_WARRANTY,2024-06-07,12,Purchased
CTRL-0032,PLAYER030,ZCT1W-D6456436,DualSense Limited Edition Controller,DS-LIMITED,2024-01-06,2024-01-11,IN_WARRANTY,2025-01-05,12,Purchased
CTRL-0033,PLAYER031,ZCT2E-A7606809,DualSense Wireless Controller,DS-STANDARD,2024-01-04,2024-01-29,IN_WARRANTY,2025-01-03,12,Purchased
CTRL-0034,PLAYER031,ZCT2E-C9705716,DualSense Wireless Controller,DS-STANDARD,2021-09-12,2021-10-06,OUT_OF_WARRANTY,2022-09-12,12,Purchased
CTRL-0035,PLAYER032,ZCT1W-X2968404,DualSense Wireless Controller,DS-STANDARD,2022-01-04,2022-01-04,OUT_OF_WARRANTY,2023-01-04,12,Purchased
CTRL-0036,PLAYER033,ZCT2E-L3064357,DualSense Limited Edition Controller,DS-LIMITED,2022-02-27,2022-03-19,OUT_OF_WARRANTY,2023-02-27,12,Purchased
CTRL-0037,PLAYER034,ZCT1W-C5307726,DualSense Wireless Controller,DS-STANDARD,2021-03-13,2021-03-15,OUT_OF_WARRANTY,2022-03-13,12,Purchased
CTRL-0038,PLAYER034,ZCT1W-S6009306,DualSense Wireless Controller,DS-STANDARD,2021-12-18,2021-12-31,OUT_OF_WARRANTY,2022-12-18,12,Purchased
CTRL-0039,PLAYER035,ZCT1W-H6043230,DualSense Limited Edition Controller,DS-LIMITED,2023-11-30,2023-12-28,IN_WARRANTY,2024-11-29,12,Purchased
CTRL-0040,PLAYER036,ZCT2E-X9960751,DualSense Wireless Controller,DS-STANDARD,2023-10-02,2023-10-24,IN_WARRANTY,2024-10-01,12,Purchased
CTRL-0041,PLAYER037,ZCT2E-S6907545,DualSense Wireless Controller,DS-STANDARD,2023-11-12,2023-11-18,IN_WARRANTY,2024-11-11,12,Purchased
CTRL-0042,PLAYER037,ZCT1W-X1750538,DualSense Wireless Controller,DS-STANDARD,2022-01-21,2022-01-25,OUT_OF_WARRANTY,2023-01-21,12,Purchased
CTRL-0043,PLAYER038,ZCT2E-G3251636,DualSense Wireless Controller,DS-STANDARD,2022-03-19,2022-04-06,OUT_OF_WARRANTY,2023-03-19,12,Purchased
CTRL-0044,PLAYER039,ZCT2E-J3155739,DualSense Wireless Controller,DS-STANDARD,2023-05-15,2023-05-17,OUT_OF_WARRANTY,2024-05-14,12,Purchased
CTRL-0045,PLAYER040,ZCT2E-J7405244,DualSense Wireless Controller,DS-STANDARD,2021-12-01,2021-12-13,OUT_OF_WARRANTY,2022-12-01,12,Purchased
CTRL-0046,PLAYER041,ZCT2E-C5264422,DualSense Edge Wireless Controller,DS-EDGE,2023-05-22,2023-06-21,OUT_OF_WARRANTY,2024-05-21,12,Purchased
CTRL-0047,PLAYER042,ZCT1W-T4418574,DualSense Edge Wireless Controller,DS-EDGE,2021-05-25,2021-06-14,OUT_OF_WARRANTY,2022-05-25,12,Purchased
CTRL-0048,PLAYER043,ZCT2E-W4231751,DualSense Wireless Controller,DS-STANDARD,2023-11-14,2023-12-03,IN_WARRANTY,2024-11-13,12,Purchased
CTRL-0049,PLAYER044,ZCT1W-P3575158,DualSense Wireless Controller,DS-STANDARD,2023-06-08,2023-06-20,OUT_OF_WARRANTY,2024-06-07,12,Purchased
CTRL-0050,PLAYER045,ZCT1W-V5152322,DualSense Limited Edition Controller,DS-LIMITED,2021-09-13,2021-09-30,OUT_OF_WARRANTY,2022-09-13,12,Purchased
CTRL-0051,PLAYER046,ZCT1W-X7824657,DualSense Limited Edition Controller,DS-LIMITED,2021-07-02,2021-07-13,OUT_OF_WARRANTY,2022-07-02,12,Purchased
CTRL-0052,PLAYER047,ZCT2E-J3455003,DualSense Wireless Controller,DS-STANDARD,2022-04-08,2022-04-16,OUT_OF_WARRANTY,2023-04-08,12,Purchased
CTRL-0053,PLAYER048,ZCT1W-D7327627,DualSense Wireless Controller,DS-STANDARD,2022-04-01,2022-04-13,OUT_OF_WARRANTY,2023-04-01,12,Purchased
CTRL-0054,PLAYER049,ZCT1W-D3948283,DualSense Wireless Controller,DS-STANDARD,2022-09-20,2022-10-08,OUT_OF_WARRANTY,2023-09-20,12,Purchased
CTRL-0055,PLAYER050,ZCT2E-D9874478,DualSense Wireless Controller,DS-STANDARD,2022-08-01,2022-08-18,OUT_OF_WARRANTY,2023-08-01,12,Purchased
CTRL-0056,PLAYER051,ZCT2E-V2662054,DualSense Wireless Controller,DS-STANDARD,2021-12-16,2021-12-26,OUT_OF_WARRANTY,2022-12-16,12,Purchased
CTRL-0057,PLAYER051,ZCT2E-F6791040,DualSense Wireless Controller,DS-STANDARD,2023-12-25,2024-01-11,IN_WARRANTY,2024-12-24,12,Purchased
CTRL-0058,PLAYER052,ZCT2E-R3140306,DualSense Wireless Controller,DS-STANDARD,2023-11-18,2023-12-10,IN_WARRANTY,2024-11-17,12,Purchased
CTRL-0059,PLAYER053,ZCT1W-X3120109,DualSense Wireless Controller,DS-STANDARD,2022-07-02,2022-07-03,OUT_OF_WARRANTY,2023-07-02,12,Purchased
CTRL-0060,PLAYER054,ZCT2E-H8016965,DualSense Wireless Controller,DS-STANDARD,2022-01-10,2022-01-24,OUT_OF_WARRANTY,2023-01-10,12,Purchased
CTRL-0061,PLAYER055,ZCT2E-Q9426008,DualSense Wireless Controller,DS-STANDARD,2023-05-27,2023-06-12,OUT_OF_WARRANTY,2024-05-26,12,Purchased
CTRL-0062,PLAYER056,ZCT1W-K2458649,DualSense Wireless Controller,DS-STANDARD,2023-04-13,2023-05-07,OUT_OF_WARRANTY,2024-04-12,12,Purchased
CTRL-0063,PLAYER057,ZCT2E-C2333367,DualSense Limited Edition Controller,DS-LIMITED,2022-05-07,2022-06-06,OUT_OF_WARRANTY,2023-05-07,12,Purchased
CTRL-0064,PLAYER058,ZCT1W-F1963205,DualSense Wireless Controller,DS-STANDARD,2022-08-09,2022-08-26,OUT_OF_WARRANTY,2023-08-09,12,Purchased
CTRL-0065,PLAYER059,ZCT2E-A8113264,DualSense Wireless Controller,DS-STANDARD,2021-10-07,2021-10-22,OUT_OF_WARRANTY,2022-10-07,12,Purchased
CTRL-0066,PLAYER060,ZCT2E-S9932346,DualSense Edge Wireless Controller,DS-EDGE,2021-09-13,2021-09-25,OUT_OF_WARRANTY,2022-09-13,12,Purchased
CTRL-0067,PLAYER061,ZCT1W-V4190758,DualSense Wireless Controller,DS-STANDARD,2021-01-15,2021-02-06,OUT_OF_WARRANTY,2022-01-15,12,Purchased
CTRL-0068,PLAYER062,ZCT2E-T6789156,DualSense Wireless Controller,DS-STANDARD,2023-12-18,2024-01-08,IN_WARRANTY,2024-12-17,12,Purchased
CTRL-0069,PLAYER063,ZCT1W-V8527132,DualSense Wireless Controller,DS-STANDARD,2023-12-09,2024-01-06,IN_WARRANTY,2024-12-08,12,Purchased
CTRL-0070,PLAYER064,ZCT1W-F2260344,DualSense Edge Wireless Controller,DS-EDGE,2023-01-22,2023-02-17,OUT_OF_WARRANTY,2024-01-22,12,Purchased
CTRL-0071,PLAYER065,ZCT1W-S6927248,DualSense Wireless Controller,DS-STANDARD,2023-05-16,2023-05-31,OUT_OF_WARRANTY,2024-05-15,12,Purchased
CTRL-0072,PLAYER066,ZCT2E-F7262661,DualSense Wireless Controller,DS-STANDARD,2022-11-24,2022-12-23,OUT_OF_WARRANTY,2023-11-24,12,Purchased
CTRL-0073,PLAYER067,ZCT1W-T2977453,DualSense Wireless Controller,DS-STANDARD,2023-09-17,2023-09-26,IN_WARRANTY,2024-09-16,12,Purchased
CTRL-0074,PLAYER068,ZCT2E-G1037485,DualSense Wireless Controller,DS-STANDARD,2023-03-18,2023-03-24,OUT_OF_WARRANTY,2024-03-17,12,Purchased
CTRL-0075,PLAYER069,ZCT2E-W9649141,DualSense Wireless Controller,DS-STANDARD,2021-03-14,2021-04-12,OUT_OF_WARRANTY,2022-03-14,12,Purchased
CTRL-0076,PLAYER070,ZCT2E-V9191751,DualSense Limited Edition Controller,DS-LIMITED,2021-01-13,2021-02-01,OUT_OF_WARRANTY,2022-01-13,12,Purchased
CTRL-0077,PLAYER071,ZCT2E-L6005493,DualSense Wireless Controller,DS-STANDARD,2021-01-11,2021-01-22,OUT_OF_WARRANTY,2022-01-11,12,Purchased
CTRL-0078,PLAYER071,ZCT1W-N6948065,DualSense Limited Edition Controller,DS-LIMITED,2023-06-02,2023-06-17,OUT_OF_WARRANTY,2024-06-01,12,Purchased
CTRL-0079,PLAYER072,ZCT1W-C9876767,DualSense Wireless Controller,DS-STANDARD,2021-11-11,2021-11-24,OUT_OF_WARRANTY,2022-11-11,12,Purchased
CTRL-0080,PLAYER073,ZCT1W-R1115938,DualSense Wireless Controller,DS-STANDARD,2022-05-28,2022-06-04,OUT_OF_WARRANTY,2023-05-28,12,Purchased
CTRL-0081,PLAYER074,ZCT2E-N7279870,DualSense Edge Wireless Controller,DS-EDGE,2022-09-05,2022-09-16,OUT_OF_WARRANTY,2023-09-05,12,Purchased
CTRL-0082,PLAYER075,ZCT2E-F9999758,DualSense Wireless Controller,DS-STANDARD,2021-08-11,2021-08-25,OUT_OF_WARRANTY,2022-08-11,12,Purchased
CTRL-0083,PLAYER076,ZCT2E-F3346703,DualSense Wireless Controller,DS-STANDARD,2023-06-08,2023-06-08,OUT_OF_WARRANTY,2024-06-07,12,Purchased
CTRL-0084,PLAYER077,ZCT2E-G2856661,DualSense Edge Wireless Controller,DS-EDGE,2022-01-24,2022-02-02,OUT_OF_WARRANTY,2023-01-24,12,Purchased
CTRL-0085,PLAYER078,ZCT1W-E7619383,DualSense Edge Wireless Controller,DS-EDGE,2023-05-13,2023-06-05,OUT_OF_WARRANTY,2024-05-12,12,Purchased
CTRL-0086,PLAYER079,ZCT2E-B3689597,DualSense Wireless Controller,DS-STANDARD,2023-09-09,2023-10-09,IN_WARRANTY,2024-09-08,12,Purchased
CTRL-0087,PLAYER080,ZCT2E-D8064807,DualSense Wireless Controller,DS-STANDARD,2023-10-12,2023-11-06,IN_WARRANTY,2024-10-11,12,Purchased
CTRL-0088,PLAYER081,ZCT1W-L7708806,DualSense Wireless Controller,DS-STANDARD,2023-03-08,2023-03-12,OUT_OF_WARRANTY,2024-03-07,12,Purchased
CTRL-0089,PLAYER082,ZCT1W-D1354875,DualSense Wireless Controller,DS-STANDARD,2022-12-06,2022-12-22,OUT_OF_WARRANTY,2023-12-06,12,Purchased
CTRL-0090,PLAYER083,ZCT1W-X4967894,DualSense Limited Edition Controller,DS-LIMITED,2022-12-02,2022-12-15,OUT_OF_WARRANTY,2023-12-02,12,Purchased
CTRL-0091,PLAYER084,ZCT1W-P9056301,DualSense Wireless Controller,DS-STANDARD,2023-09-23,2023-09-25,IN_WARRANTY,2024-09-22,12,Purchased
CTRL-0092,PLAYER085,ZCT2E-H3558453,DualSense Wireless Controller,DS-STANDARD,2022-01-18,2022-01-25,OUT_OF_WARRANTY,2023-01-18,12,Purchased
CTRL-0093,PLAYER086,ZCT2E-D5421311,DualSense Wireless Controller,DS-STANDARD,2022-05-22,2022-06-12,OUT_OF_WARRANTY,2023-05-22,12,Purchased
CTRL-0094,PLAYER087,ZCT2E-G8950602,DualSense Wireless Controller,DS-STANDARD,2021-07-31,2021-08-22,OUT_OF_WARRANTY,2022-07-31,12,Purchased
CTRL-0095,PLAYER088,ZCT1W-G3495209,DualSense Wireless Controller,DS-STANDARD,2021-09-28,2021-10-10,OUT_OF_WARRANTY,2022-09-28,12,Purchased
CTRL-0096,PLAYER088,ZCT1W-J4224201,DualSense Wireless Controller,DS-STANDARD,2023-05-24,2023-05-24,OUT_OF_WARRANTY,2024-05-23,12,Purchased
CTRL-0097,PLAYER089,ZCT1W-C1854889,DualSense Wireless Controller,DS-STANDARD,2023-12-12,2023-12-21,IN_WARRANTY,2024-12-11,12,Purchased
CTRL-0098,PLAYER090,ZCT1W-H6640128,DualSense Edge Wireless Controller,DS-EDGE,2023-05-23,2023-06-07,OUT_OF_WARRANTY,2024-05-22,12,Purchased
CTRL-0099,PLAYER091,ZCT1W-S8165093,DualSense Wireless Controller,DS-STANDARD,2022-09-16,2022-09-19,OUT_OF_WARRANTY,2023-09-16,12,Purchased
CTRL-0100,PLAYER092,ZCT2E-M5706947,DualSense Edge Wireless Controller,DS-EDGE,2022-12-20,2023-01-11,OUT_OF_WARRANTY,2023-12-20,12,Purchased
CTRL-0101,PLAYER093,ZCT2E-H6366039,DualSense Wireless Controller,DS-STANDARD,2022-01-08,2022-01-09,OUT_OF_WARRANTY,2023-01-08,12,Purchased
CTRL-0102,PLAYER094,ZCT1W-B6396217,DualSense Wireless Controller,DS-STANDARD,2023-08-25,2023-09-02,IN_WARRANTY,2024-08-24,12,Purchased
CTRL-0103,PLAYER094,ZCT1W-P4101100,DualSense Wireless Controller,DS-STANDARD,2023-10-04,2023-10-15,IN_WARRANTY,2024-10-03,12,Purchased
CTRL-0104,PLAYER095,ZCT2E-K2871139,DualSense Wireless Controller,DS-STANDARD,2021-01-28,2021-02-18,OUT_OF_WARRANTY,2022-01-28,12,Purchased
CTRL-0105,PLAYER096,ZCT1W-L7049339,DualSense Wireless Controller,DS-STANDARD,2023-01-11,2023-02-03,OUT_OF_WARRANTY,2024-01-11,12,Purchased
CTRL-0106,PLAYER096,ZCT2E-H5629621,DualSense Wireless Controller,DS-STANDARD,2023-02-26,2023-02-28,OUT_OF_WARRANTY,2024-02-26,12,Purchased
CTRL-0107,PLAYER097,ZCT1W-E3019210,DualSense Limited Edition Controller,DS-LIMITED,2022-01-26,2022-02-01,OUT_OF_WARRANTY,2023-01-26,12,Purchased
CTRL-0108,PLAYER097,ZCT2E-D2256271,DualSense Wireless Controller,DS-STANDARD,2022-12-04,2022-12-13,OUT_OF_WARRANTY,2023-12-04,12,Purchased
CTRL-0109,PLAYER098,ZCT2E-G9951610,DualSense Edge Wireless Controller,DS-EDGE,2021-11-11,2021-11-12,OUT_OF_WARRANTY,2022-11-11,12,Purchased
CTRL-0110,PLAYER099,ZCT1W-G8016442,DualSense Wireless Controller,DS-STANDARD,2022-06-02,2022-06-30,OUT_OF_WARRANTY,2023-06-02,12,Purchased
CTRL-0111,PLAYER100,ZCT2E-M8524283,DualSense Wireless Controller,DS-STANDARD,2021-08-29,2021-09-27,OUT_OF_WARRANTY,2022-08-29,12,Purchased
CTRL-0112,PLAYER101,ZCT2E-C9100385,DualSense Wireless Controller,DS-STANDARD,2023-10-29,2023-11-23,IN_WARRANTY,2024-10-28,12,Purchased
CTRL-0113,PLAYER102,ZCT1W-F5599450,DualSense Wireless Controller,DS-STANDARD,2021-09-22,2021-10-01,OUT_OF_WARRANTY,2022-09-22,12,Purchased
CTRL-0114,PLAYER103,ZCT1W-U2019943,DualSense Wireless Controller,DS-STANDARD,2022-01-25,2022-02-17,OUT_OF_WARRANTY,2023-01-25,12,Purchased
CTRL-0115,PLAYER104,ZCT2E-R9933361,DualSense Wireless Controller,DS-STANDARD,2021-06-03,2021-06-08,OUT_OF_WARRANTY,2022-06-03,12,Purchased
CTRL-0116,PLAYER105,ZCT2E-S7444974,DualSense Wireless Controller,DS-STANDARD,2023-03-11,2023-03-23,OUT_OF_WARRANTY,2024-03-10,12,Purchased
CTRL-0117,PLAYER106,ZCT2E-G4088120,DualSense Limited Edition Controller,DS-LIMITED,2022-03-23,2022-04-10,OUT_OF_WARRANTY,2023-03-23,12,Purchased
CTRL-0118,PLAYER107,ZCT1W-S8641031,DualSense Wireless Controller,DS-STANDARD,2023-12-12,2023-12-20,IN_WARRANTY,2024-12-11,12,Purchased
CTRL-0119,PLAYER107,ZCT2E-H5972157,DualSense Wireless Controller,DS-STANDARD,2021-09-01,2021-09-06,OUT_OF_WARRANTY,2022-09-01,12,Purchased
CTRL-0120,PLAYER108,ZCT1W-B9951748,DualSense Wireless Controller,DS-STANDARD,2021-03-22,2021-04-11,OUT_OF_WARRANTY,2022-03-22,12,Purchased
CTRL-0121,PLAYER109,ZCT1W-J3230889,DualSense Wireless Controller,DS-STANDARD,2021-04-16,2021-05-06,OUT_OF_WARRANTY,2022-04-16,12,Purchased
CTRL-0122,PLAYER110,ZCT1W-G9969014,DualSense Wireless Controller,DS-STANDARD,2022-12-13,2023-01-02,OUT_OF_WARRANTY,2023-12-13,12,Purchased
CTRL-0123,PLAYER111,ZCT2E-L2396638,DualSense Edge Wireless Controller,DS-EDGE,2022-06-25,2022-07-18,OUT_OF_WARRANTY,2023-06-25,12,Purchased
CTRL-0124,PLAYER112,ZCT1W-P5947522,DualSense Wireless Controller,DS-STANDARD,2021-04-28,2021-05-18,OUT_OF_WARRANTY,2022-04-28,12,Purchased
CTRL-0125,PLAYER113,ZCT1W-M4678901,DualSense Wireless Controller,DS-STANDARD,2022-07-27,2022-08-01,OUT_OF_WARRANTY,2023-07-27,12,Purchased
CTRL-0126,PLAYER113,ZCT2E-A2785812,DualSense Wireless Controller,DS-STANDARD,2023-02-22,2023-03-24,OUT_OF_WARRANTY,2024-02-22,12,Purchased
CTRL-0127,PLAYER114,ZCT2E-W4458774,DualSense Wireless Controller,DS-STANDARD,2022-03-28,2022-04-07,OUT_OF_WARRANTY,2023-03-28,12,Purchased
CTRL-0128,PLAYER115,ZCT2E-G7634775,DualSense Wireless Controller,DS-STANDARD,2022-04-20,2022-05-13,OUT_OF_WARRANTY,2023-04-20,12,Purchased
CTRL-0129,PLAYER116,ZCT2E-M3488634,DualSense Wireless Controller,DS-STANDARD,2021-07-11,2021-07-26,OUT_OF_WARRANTY,2022-07-11,12,Purchased
CTRL-0130,PLAYER117,ZCT1W-Q4104255,DualSense Wireless Controller,DS-STANDARD,2021-12-27,2022-01-02,OUT_OF_WARRANTY,2022-12-27,12,Purchased
CTRL-0131,PLAYER118,ZCT2E-F5731917,DualSense Limited Edition Controller,DS-LIMITED,2021-11-30,2021-12-28,OUT_OF_WARRANTY,2022-11-30,12,Purchased
CTRL-0132,PLAYER119,ZCT1W-N4151566,DualSense Limited Edition Controller,DS-LIMITED,2021-05-28,2021-06-10,OUT_OF_WARRANTY,2022-05-28,12,Purchased
CTRL-0133,PLAYER120,ZCT1W-Q7752901,DualSense Wireless Controller,DS-STANDARD,2023-12-15,2023-12-19,IN_WARRANTY,2024-12-14,12,Purchased
CTRL-0134,PLAYER121,ZCT1W-V2673190,DualSense Wireless Controller,DS-STANDARD,2021-02-12,2021-02-15,OUT_OF_WARRANTY,2022-02-12,12,Purchased
CTRL-0135,PLAYER122,ZCT1W-W1733836,DualSense Wireless Controller,DS-STANDARD,2021-06-21,2021-06-29,OUT_OF_WARRANTY,2022-06-21,12,Purchased
CTRL-0136,PLAYER123,ZCT1W-W1226440,DualSense Wireless Controller,DS-STANDARD,2021-01-20,2021-02-19,OUT_OF_WARRANTY,2022-01-20,12,Purchased
CTRL-0137,PLAYER123,ZCT1W-T6677240,DualSense Wireless Controller,DS-STANDARD,2021-06-24,2021-06-30,OUT_OF_WARRANTY,2022-06-24,12,Purchased
CTRL-0138,PLAYER124,ZCT1W-R8454556,DualSense Wireless Controller,DS-STANDARD,2022-09-22,2022-10-02,OUT_OF_WARRANTY,2023-09-22,12,Purchased
CTRL-0139,PLAYER125,ZCT2E-E5090433,DualSense Limited Edition Controller,DS-LIMITED,2022-07-02,2022-07-22,OUT_OF_WARRANTY,2023-07-02,12,Purchased
CTRL-0140,PLAYER126,ZCT1W-A1747019,DualSense Edge Wireless Controller,DS-EDGE,2021-07-30,2021-08-16,OUT_OF_WARRANTY,2022-07-30,12,Purchased
CTRL-0141,PLAYER127,ZCT2E-D9582257,DualSense Wireless Controller,DS-STANDARD,2023-05-01,2023-05-05,OUT_OF_WARRANTY,2024-04-30,12,Purchased
CTRL-0142,PLAYER128,ZCT1W-H1402667,DualSense Wireless Controller,DS-STANDARD,2023-03-01,2023-03-05,OUT_OF_WARRANTY,2024-02-29,12,Purchased
CTRL-0143,PLAYER129,ZCT2E-W5812480,DualSense Wireless Controller,DS-STANDARD,2023-02-27,2023-03-20,OUT_OF_WARRANTY,2024-02-27,12,Purchased
CTRL-0144,PLAYER130,ZCT1W-R3844728,DualSense Wireless Controller,DS-STANDARD,2022-04-05,2022-04-08,OUT_OF_WARRANTY,2023-04-05,12,Purchased
CTRL-0145,PLAYER130,ZCT2E-M2279932,DualSense Wireless Controller,DS-STANDARD,2021-08-31,2021-09-11,OUT_OF_WARRANTY,2022-08-31,12,Purchased
CTRL-0146,PLAYER131,ZCT1W-B3535087,DualSense Edge Wireless Controller,DS-EDGE,2021-12-31,2022-01-13,OUT_OF_WARRANTY,2022-12-31,12,Purchased
CTRL-0147,PLAYER131,ZCT2E-V4042807,DualSense Edge Wireless Controller,DS-EDGE,2021-11-04,2021-12-02,OUT_OF_WARRANTY,2022-11-04,12,Purchased
CTRL-0148,PLAYER132,ZCT2E-V5815154,DualSense Wireless Controller,DS-STANDARD,2021-08-01,2021-08-09,OUT_OF_WARRANTY,2022-08-01,12,Purchased
CTRL-0149,PLAYER133,ZCT2E-X7192680,DualSense Wireless Controller,DS-STANDARD,2021-06-06,2021-07-01,OUT_OF_WARRANTY,2022-06-06,12,Purchased
CTRL-0150,PLAYER134,ZCT1W-E3459356,DualSense Wireless Controller,DS-STANDARD,2023-03-11,2023-03-25,OUT_OF_WARRANTY,2024-03-10,12,Purchased
CTRL-0151,PLAYER135,ZCT2E-C2898577,DualSense Wireless Controller,DS-STANDARD,2022-07-25,2022-07-29,OUT_OF_WARRANTY,2023-07-25,12,Purchased
CTRL-0152,PLAYER135,ZCT1W-L3139694,DualSense Wireless Controller,DS-STANDARD,2023-02-28,2023-03-11,OUT_OF_WARRANTY,2024-02-28,12,Purchased
CTRL-0153,PLAYER136,ZCT2E-R8110722,DualSense Wireless Controller,DS-STANDARD,2023-04-28,2023-05-17,OUT_OF_WARRANTY,2024-04-27,12,Purchased
CTRL-0154,PLAYER137,ZCT2E-E5125653,DualSense Wireless Controller,DS-STANDARD,2023-10-16,2023-11-02,IN_WARRANTY,2024-10-15,12,Purchased
