affinity_id,player_id,product_code,product_category,affinity_score,affinity_reason,last_interaction_date
AFF-000059,PLAYER455,DS-LIMITED,Controller,0.75,PAST_PURCHASES,2024-06-05
AFF-000060,PLAYER499,DS-LIMITED,Controller-Premium,0.94,PAST_PURCHASES,2024-05-04
AFF-000061,PLAYER1000,DS-EDGE-MODULE,Controller-Module,0.86,PAST_PURCHASES,2024-05-31
AFF-000062,PLAYER816,DS-EDGE-MODULE,Controller,0.37,WISHLIST_ACTIVITY,2024-05-17
AFF-000063,PLAYER221,DS-EDGE,Controller,0.92,RECENT_STORE_VIEWS,2024-05-26
AFF-000064,PLAYER104,DS-STANDARD,Controller-Standard,0.20,SESSION_PATTERN,2024-05-30
AFF-000065,PLAYER512,DS-STANDARD,Controller-Standard,0.38,PAST_PURCHASES,2024-05-11
AFF-000066,PLAYER600,DS-EDGE,Controller-Premium,0.84,SESSION_PATTERN,2024-05-07
AFF-000067,PLAYER749,DS-STANDARD,Controller-Standard,0.43,PAST_PURCHASES,2024-05-20
AFF-000068,PLAYER393,DS-EDGE,Controller,0.67,SESSION_PATTERN,2024-04-11
AFF-000069,PLAYER644,DS-EDGE,Controller,0.56,WISHLIST_ACTIVITY,2024-06-09
AFF-000070,PLAYER823,DS-LIMITED,Controller,0.32,PAST_PURCHASES,2024-04-09
AFF-000071,PLAYER575,DS-LIMITED,Controller,0.87,SESSION_PATTERN,2024-04-11
AFF-000072,PLAYER391,DS-STANDARD,Controller-Standard,0.64,RECENT_STORE_VIEWS,2024-04-29
AFF-000073,PLAYER746,DS-EDGE-MODULE,Controller-Module,0.80,RECENT_STORE_VIEWS,2024-05-26
AFF-000074,PLAYER816,DS-EDGE,Controller,0.39,RECENT_STORE_VIEWS,2024-06-08
AFF-000075,PLAYER334,DS-STANDARD,Controller-Standard,0.57,RECENT_STORE_VIEWS,2024-05-28
AFF-000076,PLAYER040,DS-STANDARD,Controller-Standard,0.31,SESSION_PATTERN,2024-05-02
AFF-000077,PLAYER520,DS-LIMITED,Controller-Premium,0.80,RECENT_STORE_VIEWS,2024-05-26
AFF-000078,PLAYER373,DS-LIMITED,Controller,0.63,RECENT_STORE_VIEWS,2024-04-24
AFF-000079,PLAYER910,DS-STANDARD,Controller-Standard,0.78,RECENT_STORE_VIEWS,2024-05-24
AFF-000080,PLAYER373,DS-EDGE,Controller,0.67,SESSION_PATTERN,2024-04-25
AFF-000081,PLAYER006,DS-EDGE-MODULE,Controller,0.62,SESSION_PATTERN,2024-05-12
AFF-000082,PLAYER065,DS-EDGE,Controller,0.39,PAST_PURCHASES,2024-04-24
AFF-000083,PLAYER930,DS-STANDARD,Controller-Standard,0.18,SESSION_PATTERN,2024-04-26
AFF-000084,PLAYER796,DS-EDGE-MODULE,Controller,0.17,SESSION_PATTERN,2024-04-19
AFF-000085,PLAYER854,DS-EDGE,Controller-Premium,0.86,WISHLIST_ACTIVITY,2024-06-09
AFF-000086,PLAYER429,DS-STANDARD,Controller-Standard,0.39,PAST_PURCHASES,2024-04-21
AFF-000087,PLAYER997,DS-EDGE-MODULE,Controller,0.64,SESSION_PATTERN,2024-04-26
AFF-000088,PLAYER900,DS-EDGE,Controller,0.60,WISHLIST_ACTIVITY,2024-05-06
AFF-000089,PLAYER247,DS-EDGE,Controller,0.74,WISHLIST_ACTIVITY,2024-04-25
AFF-000090,PLAYER201,DS-LIMITED,Controller,0.66,WISHLIST_ACTIVITY,2024-05-03
AFF-000091,PLAYER137,DS-EDGE-MODULE,Controller,0.19,RECENT_STORE_VIEWS,2024-04-28
AFF-000092,PLAYER632,DS-LIMITED,Controller-Premium,0.89,RECENT_STORE_VIEWS,2024-06-08
AFF-000093,PLAYER250,DS-EDGE,Controller-Premium,0.65,WISHLIST_ACTIVITY,2024-04-21
AFF-000094,PLAYER084,DS-EDGE-MODULE,Controller,0.47,WISHLIST_ACTIVITY,2024-05-04
AFF-000095,PLAYER948,DS-LIMITED,Controller,0.23,WISHLIST_ACTIVITY,2024-04-28
AFF-000096,PLAYER319,DS-EDGE-MODULE,Controller,0.14,PAST_PURCHASES,2024-05-16
AFF-000097,PLAYER257,DS-EDGE,Controller-Premium,0.93,SESSION_PATTERN,2024-05-18
AFF-000098,PLAYER950,DS-STANDARD,Controller-Standard,0.55,SESSION_PATTERN,2024-05-02
AFF-000099,PLAYER783,DS-EDGE,Controller,0.59,PAST_PURCHASES,2024-05-13
AFF-000100,PLAYER447,DS-LIMITED,Controller,0.78,WISHLIST_ACTIVITY,2024-05-01
AFF-000101,PLAYER718,DS-EDGE,Controller-Premium,0.68,PAST_PURCHASES,2024-05-09
AFF-000102,PLAYER269,DS-STANDARD,Controller-Standard,0.31,PAST_PURCHASES,2024-05-04
AFF-000103,PLAYER696,DS-LIMITED,Controller,0.56,WISHLIST_ACTIVITY,2024-05-16
AFF-000104,PLAYER312,DS-LIMITED,Controller,0.27,WISHLIST_ACTIVITY,2024-04-30
AFF-000105,PLAYER052,DS-EDGE-MODULE,Controller,0.56,RECENT_STORE_VIEWS,2024-04-10
AFF-000106,PLAYER065,DS-STANDARD,Controller-Standard,0.27,WISHLIST_ACTIVITY,2024-05-25
AFF-000107,PLAYER084,DS-EDGE,Controller,0.71,SESSION_PATTERN,2024-04-28
AFF-000108,PLAYER759,DS-EDGE,Controller,0.67,WISHLIST_ACTIVITY,2024-06-04
AFF-000109,PLAYER333,DS-EDGE,Controller,0.67,SESSION_PATTERN,2024-04-26
AFF-000110,PLAYER826,DS-EDGE,Controller,0.42,WISHLIST_ACTIVITY,2024-04-28
AFF-000111,PLAYER339,DS-LIMITED,Controller,0.58,PAST_PURCHASES,2024-04-22
AFF-000112,PLAYER740,DS-EDGE-MODULE,Controller,0.15,RECENT_STORE_VIEWS,2024-04-12
AFF-000113,PLAYER041,DS-EDGE,Controller-Premium,0.94,WISHLIST_ACTIVITY,2024-04-19
AFF-000114,PLAYER613,DS-STANDARD,Controller-Standard,0.87,SESSION_PATTERN,2024-04-22
AFF-000115,PLAYER045,DS-STANDARD,Controller-Standard,0.59,SESSION_PATTERN,2024-06-09
AFF-000116,PLAYER163,DS-STANDARD,Controller-Standard,0.17,SESSION_PATTERN,2024-04-11
AFF-000117,PLAYER257,DS-LIMITED,Controller-Premium,0.82,WISHLIST_ACTIVITY,2024-04-08
AFF-000118,PLAYER454,DS-LIMITED,Controller-Premium,0.79,WISHLIST_ACTIVITY,2024-04-30
AFF-000119,PLAYER286,DS-STANDARD,Controller-Standard,0.16,RECENT_STORE_VIEWS,2024-05-22
AFF-000120,PLAYER304,DS-EDGE,Controller,0.46,RECENT_STORE_VIEWS,2024-04-26
AFF-000121,PLAYER848,DS-EDGE-MODULE,Controller,0.64,WISHLIST_ACTIVITY,2024-05-10
AFF-000122,PLAYER357,DS-LIMITED,Controller,0.44,WISHLIST_ACTIVITY,2024-06-09
AFF-000123,PLAYER071,DS-STANDARD,Controller-Standard,0.23,SESSION_PATTERN,2024-04-14
AFF-000124,PLAYER251,DS-LIMITED,Controller,0.32,WISHLIST_ACTIVITY,2024-04-08
AFF-000125,PLAYER458,DS-EDGE,Controller,0.78,PAST_PURCHASES,2024-05-09
AFF-000126,PLAYER455,DS-STANDARD,Controller-Standard,0.85,WISHLIST_ACTIVITY,2024-04-16
AFF-000127,PLAYER979,DS-STANDARD,Controller-Standard,0.13,SESSION_PATTERN,2024-05-27
AFF-000128,PLAYER132,DS-STANDARD,Controller-Standard,0.45,WISHLIST_ACTIVITY,2024-04-28
AFF-000129,PLAYER750,DS-LIMITED,Controller,0.75,RECENT_STORE_VIEWS,2024-05-14
AFF-000130,PLAYER797,DS-EDGE,Controller,0.55,PAST_PURCHASES,2024-06-01
AFF-000131,PLAYER577,DS-LIMITED,Controller,0.55,RECENT_STORE_VIEWS,2024-05-08
AFF-000132,PLAYER288,DS-EDGE,Controller,0.17,WISHLIST_ACTIVITY,2024-05-18
AFF-000133,PLAYER306,DS-LIMITED,Controller,0.88,PAST_PURCHASES,2024-04-15
AFF-000134,PLAYER818,DS-EDGE-MODULE,Controller,0.57,PAST_PURCHASES,2024-04-21
AFF-000135,PLAYER511,DS-EDGE-MODULE,Controller,0.75,RECENT_STORE_VIEWS,2024-05-16
AFF-000136,PLAYER503,DS-EDGE-MODULE,Controller-Module,0.73,RECENT_STORE_VIEWS,2024-05-14
AFF-000137,PLAYER234,DS-LIMITED,Controller,0.48,PAST_PURCHASES,2024-04-19
AFF-000138,PLAYER076,DS-EDGE,Controller,0.83,WISHLIST_ACTIVITY,2024-05-13
AFF-000139,PLAYER010,DS-LIMITED,Controller,0.43,WISHLIST_ACTIVITY,2024-05-31
AFF-000140,PLAYER629,DS-EDGE,Controller,0.69,RECENT_STORE_VIEWS,2024-06-09
AFF-000141,PLAYER967,DS-EDGE,Controller,0.58,PAST_PURCHASES,2024-05-18
AFF-000142,PLAYER344,DS-EDGE-MODULE,Controller,0.22,RECENT_STORE_VIEWS,2024-05-24
AFF-000143,PLAYER328,DS-LIMITED,Controller,0.78,PAST_PURCHASES,2024-06-04
AFF-000144,PLAYER594,DS-LIMITED,Controller,0.55,RECENT_STORE_VIEWS,2024-04-29
AFF-000145,PLAYER294,DS-LIMITED,Controller,0.91,WISHLIST_ACTIVITY,2024-04-24
AFF-000146,PLAYER220,DS-STANDARD,Controller-Standard,0.74,WISHLIST_ACTIVITY,2024-05-06
AFF-000147,PLAYER969,DS-LIMITED,Controller,0.43,PAST_PURCHASES,2024-06-01
AFF-000148,PLAYER165,DS-EDGE,Controller,0.90,WISHLIST_ACTIVITY,2024-04-08
AFF-000149,PLAYER421,DS-EDGE-MODULE,Controller,0.22,WISHLIST_ACTIVITY,2024-04-25
AFF-000150,PLAYER401,DS-EDGE-MODULE,Controller,0.80,RECENT_STORE_VIEWS,2024-05-26
AFF-000151,PLAYER950,DS-LIMITED,Controller,0.52,PAST_PURCHASES,2024-05-15
AFF-000152,PLAYER312,DS-EDGE,Controller,0.52,PAST_PURCHASES,2024-05-12
AFF-000153,PLAYER366,DS-EDGE,Controller,0.80,RECENT_STORE_VIEWS,2024-05-07
AFF-000154,PLAYER952,DS-EDGE-MODULE,Controller,0.48,WISHLIST_ACTIVITY,2024-06-07
AFF-000155,PLAYER772,DS-EDGE,Controller,0.72,WISHLIST_ACTIVITY,2024-06-08
AFF-000156,PLAYER082,DS-STANDARD,Controller-Standard,0.32,WISHLIST_ACTIVITY,2024-05-02
AFF-000157,PLAYER821,DS-STANDARD,Controller-Standard,0.72,SESSION_PATTERN,2024-05-31
AFF-000158,PLAYER574,DS-EDGE-MODULE,Controller,0.42,SESSION_PATTERN,2024-04-09
AFF-000159,PLAYER330,DS-EDGE,Controller,0.47,SESSION_PATTERN,2024-06-06
AFF-000160,PLAYER575,DS-EDGE,Controller,0.72,SESSION_PATTERN,2024-05-30
AFF-000161,PLAYER002,DS-EDGE,Controller-Premium,0.74,PAST_PURCHASES,2024-05-08
AFF-000162,PLAYER625,DS-LIMITED,Controller,0.21,PAST_PURCHASES,2024-04-12
AFF-000163,PLAYER804,DS-STANDARD,Controller-Standard,0.69,WISHLIST_ACTIVITY,2024-05-14
AFF-000164,PLAYER503,DS-EDGE,Controller-Premium,0.93,SESSION_PATTERN,2024-04-18
AFF-000165,PLAYER208,DS-EDGE,Controller,0.86,SESSION_PATTERN,2024-05-14
AFF-000166,PLAYER697,DS-EDGE-MODULE,Controller,0.67,SESSION_PATTERN,2024-05-04
AFF-000167,PLAYER075,DS-LIMITED,Controller,0.73,RECENT_STORE_VIEWS,2024-06-06
AFF-000168,PLAYER693,DS-LIMITED,Controller,0.23,WISHLIST_ACTIVITY,2024-04-26
AFF-000169,PLAYER326,DS-STANDARD,Controller-Standard,0.30,WISHLIST_ACTIVITY,2024-05-17
AFF-000170,PLAYER807,DS-EDGE-MODULE,Controller,0.74,PAST_PURCHASES,2024-04-08
AFF-000171,PLAYER211,DS-LIMITED,Controller,0.76,SESSION_PATTERN,2024-05-26
AFF-000172,PLAYER604,DS-EDGE-MODULE,Controller,0.97,WISHLIST_ACTIVITY,2024-05-25
AFF-000173,PLAYER118,DS-EDGE-MODULE,Controller,0.78,WISHLIST_ACTIVITY,2024-05-16
AFF-000174,PLAYER297,DS-EDGE-MODULE,Controller,0.67,SESSION_PATTERN,2024-04-24
AFF-000175,PLAYER744,DS-STANDARD,Controller-Standard,0.77,SESSION_PATTERN,2024-05-23
AFF-000176,PLAYER076,DS-EDGE,Controller,0.88,WISHLIST_ACTIVITY,2024-04-28
AFF-000177,PLAYER629,DS-EDGE-MODULE,Controller,0.29,SESSION_PATTERN,2024-05-08
AFF-000178,PLAYER419,DS-LIMITED,Controller,0.97,SESSION_PATTERN,2024-05-11
AFF-000179,PLAYER569,DS-LIMITED,Controller,0.75,RECENT_STORE_VIEWS,2024-05-18
AFF-000180,PLAYER918,DS-EDGE-MODULE,Controller-Module,0.97,RECENT_STORE_VIEWS,2024-05-03
AFF-000181,PLAYER282,DS-STANDARD,Controller-Standard,0.65,SESSION_PATTERN,2024-06-09
AFF-000182,PLAYER347,DS-LIMITED,Controller,0.60,WISHLIST_ACTIVITY,2024-06-09
AFF-000183,PLAYER974,DS-EDGE-MODULE,Controller,0.59,SESSION_PATTERN,2024-05-27
AFF-000184,PLAYER1000,DS-EDGE,Controller-Premium,0.93,SESSION_PATTERN,2024-04-19
AFF-000185,PLAYER652,DS-LIMITED,Controller,0.39,SESSION_PATTERN,2024-04-20
AFF-000186,PLAYER591,DS-STANDARD,Controller-Standard,0.48,SESSION_PATTERN,2024-06-08
AFF-000187,PLAYER619,DS-LIMITED,Controller,0.42,SESSION_PATTERN,2024-04-15
AFF-000188,PLAYER194,DS-EDGE-MODULE,Controller,0.75,SESSION_PATTERN,2024-05-10
AFF-000189,PLAYER641,DS-LIMITED,Controller,0.74,WISHLIST_ACTIVITY,2024-05-26
AFF-000190,PLAYER685,DS-EDGE,Controller,0.66,RECENT_STORE_VIEWS,2024-05-12
AFF-000191,PLAYER511,DS-EDGE-MODULE,Controller,0.46,PAST_PURCHASES,2024-06-06
AFF-000192,PLAYER205,DS-EDGE-MODULE,Controller,0.73,PAST_PURCHASES,2024-05-30
AFF-000193,PLAYER028,DS-EDGE,Controller,0.95,PAST_PURCHASES,2024-05-31
AFF-000194,PLAYER741,DS-LIMITED,Controller,0.36,PAST_PURCHASES,2024-05-30
AFF-000195,PLAYER101,DS-EDGE,Controller,0.35,PAST_PURCHASES,2024-06-08
AFF-000196,PLAYER530,DS-LIMITED,Controller,0.14,PAST_PURCHASES,2024-04-24
AFF-000197,PLAYER299,DS-EDGE,Controller,0.14,SESSION_PATTERN,2024-04-19
AFF-000198,PLAYER675,DS-STANDARD,Controller-Standard,0.86,RECENT_STORE_VIEWS,2024-05-18
AFF-000199,PLAYER441,DS-EDGE-MODULE,Controller,0.41,PAST_PURCHASES,2024-05-08
AFF-000200,PLAYER820,DS-STANDARD,Controller-Standard,0.87,PAST_PURCHASES,2024-04-12
AFF-000201,PLAYER394,DS-LIMITED,Controller,0.37,RECENT_STORE_VIEWS,2024-04-24
AFF-000202,PLAYER100,DS-STANDARD,Controller-Standard,0.17,WISHLIST_ACTIVITY,2024-05-06
AFF-000203,PLAYER204,DS-LIMITED,Controller-Premium,0.78,RECENT_STORE_VIEWS,2024-05-05
AFF-000204,PLAYER861,DS-EDGE-MODULE,Controller,0.62,WISHLIST_ACTIVITY,2024-04-21
AFF-000205,PLAYER750,DS-EDGE,Controller,0.89,PAST_PURCHASES,2024-04-14
AFF-000206,PLAYER855,DS-EDGE,Controller,0.79,PAST_PURCHASES,2024-06-02
AFF-000207,PLAYER028,DS-EDGE,Controller,0.85,RECENT_STORE_VIEWS,2024-05-08
AFF-000208,PLAYER384,DS-EDGE-MODULE,Controller,0.64,PAST_PURCHASES,2024-06-04
AFF-000209,PLAYER600,DS-EDGE-MODULE,Controller-Module,0.68,RECENT_STORE_VIEWS,2024-05-29
AFF-000210,PLAYER706,DS-STANDARD,Controller-Standard,0.46,PAST_PURCHASES,2024-04-27
AFF-000211,PLAYER787,DS-STANDARD,Controller-Standard,0.60,SESSION_PATTERN,2024-05-02
AFF-000212,PLAYER765,DS-LIMITED,Controller,0.32,PAST_PURCHASES,2024-04-21
AFF-000213,PLAYER874,DS-EDGE-MODULE,Controller,0.16,PAST_PURCHASES,2024-04-19
AFF-000214,PLAYER839,DS-EDGE,Controller,0.78,PAST_PURCHASES,2024-05-30
AFF-000215,PLAYER219,DS-STANDARD,Controller-Standard,0.78,RECENT_STORE_VIEWS,2024-06-04
AFF-000216,PLAYER557,DS-EDGE,Controller,0.16,WISHLIST_ACTIVITY,2024-05-20
AFF-000217,PLAYER351,DS-STANDARD,Controller-Standard,0.62,WISHLIST_ACTIVITY,2024-06-01
AFF-000218,PLAYER931,DS-LIMITED,Controller,0.17,PAST_PURCHASES,2024-04-13
AFF-000219,PLAYER303,DS-EDGE-MODULE,Controller,0.35,PAST_PURCHASES,2024-04-19
AFF-000220,PLAYER490,DS-LIMITED,Controller,0.66,PAST_PURCHASES,2024-04-23
AFF-000221,PLAYER945,DS-EDGE-MODULE,Controller,0.56,WISHLIST_ACTIVITY,2024-04-14
AFF-000222,PLAYER879,DS-STANDARD,Controller-Standard,0.22,WISHLIST_ACTIVITY,2024-04-16
AFF-000223,PLAYER488,DS-EDGE,Controller,0.74,WISHLIST_ACTIVITY,2024-06-06
AFF-000224,PLAYER875,DS-EDGE-MODULE,Controller,0.35,RECENT_STORE_VIEWS,2024-05-01
AFF-000225,PLAYER464,DS-LIMITED,Controller-Premium,0.68,PAST_PURCHASES,2024-05-19
AFF-000226,PLAYER308,DS-LIMITED,Controller,0.46,PAST_PURCHASES,2024-05-23
AFF-000227,PLAYER662,DS-STANDARD,Controller-Standard,0.30,SESSION_PATTERN,2024-05-26
AFF-000228,PLAYER308,DS-EDGE,Controller,0.38,PAST_PURCHASES,2024-04-13
AFF-000229,PLAYER704,DS-EDGE,Controller,0.68,SESSION_PATTERN,2024-06-10
AFF-000230,PLAYER490,DS-EDGE,Controller,0.65,RECENT_STORE_VIEWS,2024-05-03
AFF-000231,PLAYER329,DS-LIMITED,Controller,0.94,WISHLIST_ACTIVITY,2024-04-15
AFF-000232,PLAYER583,DS-LIMITED,Controller,0.29,WISHLIST_ACTIVITY,2024-05-19
AFF-000233,PLAYER726,DS-STANDARD,Controller-Standard,0.12,SESSION_PATTERN,2024-05-18
AFF-000234,PLAYER630,DS-EDGE-MODULE,Controller-Module,0.94,RECENT_STORE_VIEWS,2024-06-02
AFF-000235,PLAYER795,DS-EDGE-MODULE,Controller,0.33,RECENT_STORE_VIEWS,2024-04-11
AFF-000236,PLAYER175,DS-LIMITED,Controller,0.41,PAST_PURCHASES,2024-04-17
AFF-000237,PLAYER713,DS-LIMITED,Controller-Premium,0.86,WISHLIST_ACTIVITY,2024-05-20
AFF-000238,PLAYER791,DS-STANDARD,Controller-Standard,0.46,WISHLIST_ACTIVITY,2024-05-19
AFF-000239,PLAYER252,DS-EDGE,Controller,0.18,RECENT_STORE_VIEWS,2024-05-22
AFF-000240,PLAYER918,DS-LIMITED,Controller-Premium,0.81,WISHLIST_ACTIVITY,2024-04-24
AFF-000241,PLAYER961,DS-LIMITED,Controller,0.76,PAST_PURCHASES,2024-05-19
AFF-000242,PLAYER167,DS-LIMITED,Controller,0.34,SESSION_PATTERN,2024-05-03
AFF-000243,PLAYER870,DS-LIMITED,Controller,0.64,PAST_PURCHASES,2024-05-05
AFF-000244,PLAYER266,DS-STANDARD,Controller-Standard,0.41,RECENT_STORE_VIEWS,2024-04-16
AFF-000245,PLAYER303,DS-EDGE,Controller,0.21,RECENT_STORE_VIEWS,2024-05-05
AFF-000246,PLAYER932,DS-EDGE,Controller,0.53,PAST_PURCHASES,2024-04-25
AFF-000247,PLAYER073,DS-EDGE,Controller,0.14,SESSION_PATTERN,2024-05-14
AFF-000248,PLAYER368,DS-EDGE-MODULE,Controller,0.11,PAST_PURCHASES,2024-04-22
AFF-000249,PLAYER900,DS-EDGE,Controller,0.49,WISHLIST_ACTIVITY,2024-05-11
AFF-000250,PLAYER184,DS-STANDARD,Controller-Standard,0.88,WISHLIST_ACTIVITY,2024-05-15
AFF-000251,PLAYER107,DS-EDGE,Controller,0.57,RECENT_STORE_VIEWS,2024-05-08
AFF-000252,PLAYER741,DS-STANDARD,Controller-Standard,0.10,RECENT_STORE_VIEWS,2024-05-25
AFF-000253,PLAYER703,DS-LIMITED,Controller,0.95,WISHLIST_ACTIVITY,2024-04-16
AFF-000254,PLAYER392,DS-LIMITED,Controller,0.11,WISHLIST_ACTIVITY,2024-05-10
AFF-000255,PLAYER813,DS-EDGE-MODULE,Controller-Module,0.68,RECENT_STORE_VIEWS,2024-04-29
AFF-000256,PLAYER451,DS-EDGE-MODULE,Controller,0.14,WISHLIST_ACTIVITY,2024-04-16
AFF-000257,PLAYER413,DS-LIMITED,Controller,0.96,SESSION_PATTERN,2024-05-10
AFF-000258,PLAYER972,DS-EDGE,Controller,0.55,SESSION_PATTERN,2024-05-14
AFF-000259,PLAYER237,DS-STANDARD,Controller-Standard,0.68,WISHLIST_ACTIVITY,2024-05-24
AFF-000260,PLAYER179,DS-EDGE,Controller,0.32,PAST_PURCHASES,2024-06-08
AFF-000261,PLAYER506,DS-LIMITED,Controller,0.36,PAST_PURCHASES,2024-05-03
AFF-000262,PLAYER804,DS-STANDARD,Controller-Standard,0.36,SESSION_PATTERN,2024-04-09
