External_Entitlement_ID__c,Player_ID__c,Entitlement_Type__c,Eligible_Product_ProductCode,Promotional_Price__c,Entitlement_Source__c,Valid_From__c,Valid_To__c,Is_Active__c
ENT-000049,PLAYER975,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000050,PLAYER270,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000051,PLAYER333,DISCOUNTED_UPGRADE,DS-EDGE,129.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000052,PLAYER295,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000053,PLAYER314,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000054,PLAYER936,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000055,PLAYER169,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000056,PLAYER242,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000057,PLAYER216,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000058,PLAYER315,DISCOUNTED_UPGRADE,DS-EDGE,109.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000059,PLAYER111,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000060,PLAYER848,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000061,PLAYER747,DISCOUNTED_UPGRADE,DS-EDGE,79.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000062,PLAYER488,DISCOUNTED_UPGRADE,DS-STANDARD,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000063,PLAYER872,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000064,PLAYER983,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000065,PLAYER974,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000066,PLAYER468,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000067,PLAYER631,DISCOUNTED_UPGRADE,DS-LIMITED,129.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000068,PLAYER062,FREE_REPLACEMENT,DS-STANDARD,0.00,LOYALTY,2024-01-01,2025-12-31,true
ENT-000069,PLAYER776,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000070,PLAYER133,FIRMWARE_ONLY,,,PROMOTION,2024-01-01,2025-12-31,true
ENT-000071,PLAYER540,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000072,PLAYER958,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000073,PLAYER427,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000074,PLAYER519,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000075,PLAYER306,FREE_REPLACEMENT,DS-STANDARD,0.00,LOYALTY,2024-01-01,2025-12-31,true
ENT-000076,PLAYER505,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000077,PLAYER346,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000078,PLAYER603,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000079,PLAYER862,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000080,PLAYER981,DISCOUNTED_UPGRADE,DS-STANDARD,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000081,PLAYER027,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000082,PLAYER160,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000083,PLAYER663,DISCOUNTED_UPGRADE,DS-STANDARD,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000084,PLAYER659,DISCOUNTED_UPGRADE,DS-EDGE,109.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000085,PLAYER214,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000086,PLAYER493,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000087,PLAYER649,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000088,PLAYER311,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000089,PLAYER635,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000090,PLAYER960,DISCOUNTED_UPGRADE,DS-EDGE,129.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000091,PLAYER808,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000092,PLAYER737,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000093,PLAYER007,DISCOUNTED_UPGRADE,DS-EDGE,79.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000094,PLAYER295,DISCOUNTED_UPGRADE,DS-STANDARD,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000095,PLAYER725,FIRMWARE_ONLY,,,LOYALTY,2024-01-01,2025-12-31,true
ENT-000096,PLAYER755,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000097,PLAYER205,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000098,PLAYER008,FIRMWARE_ONLY,,,PROMOTION,2024-01-01,2025-12-31,true
ENT-000099,PLAYER095,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000100,PLAYER009,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000101,PLAYER269,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000102,PLAYER567,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000103,PLAYER170,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000104,PLAYER467,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000105,PLAYER806,DISCOUNTED_UPGRADE,DS-EDGE,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000106,PLAYER329,DISCOUNTED_UPGRADE,DS-EDGE,109.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000107,PLAYER139,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000108,PLAYER146,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000109,PLAYER837,DISCOUNTED_UPGRADE,DS-LIMITED,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000110,PLAYER922,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000111,PLAYER055,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000112,PLAYER661,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000113,PLAYER704,DISCOUNTED_UPGRADE,DS-EDGE,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000114,PLAYER672,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000115,PLAYER177,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000116,PLAYER422,DISCOUNTED_UPGRADE,DS-STANDARD,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000117,PLAYER674,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000118,PLAYER078,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000119,PLAYER311,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000120,PLAYER919,DISCOUNTED_UPGRADE,DS-LIMITED,109.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000121,PLAYER988,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000122,PLAYER570,FREE_REPLACEMENT,DS-STANDARD,0.00,WARRANTY,2024-01-01,2025-12-31,true
ENT-000123,PLAYER428,DISCOUNTED_UPGRADE,DS-EDGE,129.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000124,PLAYER762,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000125,PLAYER297,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000126,PLAYER887,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000127,PLAYER915,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000128,PLAYER585,DISCOUNTED_UPGRADE,DS-STANDARD,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000129,PLAYER340,DISCOUNTED_UPGRADE,DS-LIMITED,129.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000130,PLAYER933,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000131,PLAYER725,DISCOUNTED_UPGRADE,DS-EDGE,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000132,PLAYER975,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000133,PLAYER153,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000134,PLAYER813,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000135,PLAYER407,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000136,PLAYER884,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000137,PLAYER039,FREE_REPLACEMENT,DS-STANDARD,0.00,WARRANTY,2024-01-01,2025-12-31,true
ENT-000138,PLAYER780,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000139,PLAYER516,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000140,PLAYER885,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000141,PLAYER701,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000142,PLAYER710,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000143,PLAYER653,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000144,PLAYER018,DISCOUNTED_UPGRADE,DS-EDGE,79.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000145,PLAYER661,DISCOUNTED_UPGRADE,DS-LIMITED,109.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000146,PLAYER472,FIRMWARE_ONLY,,,LOYALTY,2024-01-01,2025-12-31,true
ENT-000147,PLAYER977,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000148,PLAYER798,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000149,PLAYER965,DISCOUNTED_UPGRADE,DS-EDGE,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000150,PLAYER311,DISCOUNTED_UPGRADE,DS-EDGE,109.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000151,PLAYER889,DISCOUNTED_UPGRADE,DS-STANDARD,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000152,PLAYER591,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000153,PLAYER704,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000154,PLAYER408,DISCOUNTED_UPGRADE,DS-STANDARD,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000155,PLAYER213,FIRMWARE_ONLY,,,PROMOTION,2024-01-01,2025-12-31,true
ENT-000156,PLAYER947,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000157,PLAYER143,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000158,PLAYER116,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000159,PLAYER936,FIRMWARE_ONLY,,,LOYALTY,2024-01-01,2025-12-31,true
ENT-000160,PLAYER633,DISCOUNTED_UPGRADE,DS-EDGE,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000161,PLAYER352,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000162,PLAYER779,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000163,PLAYER765,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000164,PLAYER586,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000165,PLAYER346,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000166,PLAYER184,DISCOUNTED_UPGRADE,DS-LIMITED,109.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000167,PLAYER107,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000168,PLAYER181,DISCOUNTED_UPGRADE,DS-EDGE,49.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000169,PLAYER700,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000170,PLAYER591,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000171,PLAYER294,DISCOUNTED_UPGRADE,DS-STANDARD,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000172,PLAYER868,DISCOUNTED_UPGRADE,DS-EDGE,129.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000173,PLAYER830,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000174,PLAYER754,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000175,PLAYER798,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000176,PLAYER993,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000177,PLAYER122,DISCOUNTED_UPGRADE,DS-STANDARD,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000178,PLAYER563,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000179,PLAYER781,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000180,PLAYER965,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000181,PLAYER145,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000182,PLAYER371,FREE_REPLACEMENT,DS-STANDARD,0.00,WARRANTY,2024-01-01,2025-12-31,true
ENT-000183,PLAYER237,DISCOUNTED_UPGRADE,DS-EDGE,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000184,PLAYER614,DISCOUNTED_UPGRADE,DS-EDGE,49.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000185,PLAYER437,FREE_REPLACEMENT,DS-STANDARD,0.00,LOYALTY,2024-01-01,2025-12-31,true
ENT-000186,PLAYER423,FIRMWARE_ONLY,,,LOYALTY,2024-01-01,2025-12-31,true
ENT-000187,PLAYER881,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000188,PLAYER268,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000189,PLAYER719,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000190,PLAYER128,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000191,PLAYER930,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000192,PLAYER434,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000193,PLAYER605,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000194,PLAYER381,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000195,PLAYER969,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000196,PLAYER862,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000197,PLAYER445,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000198,PLAYER061,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000199,PLAYER213,FIRMWARE_ONLY,,,PROMOTION,2024-01-01,2025-12-31,true
ENT-000200,PLAYER812,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000201,PLAYER409,DISCOUNTED_UPGRADE,DS-STANDARD,129.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000202,PLAYER434,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000203,PLAYER100,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000204,PLAYER607,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000205,PLAYER722,DISCOUNTED_UPGRADE,DS-STANDARD,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000206,PLAYER044,FIRMWARE_ONLY,,,LOYALTY,2024-01-01,2025-12-31,true
ENT-000207,PLAYER253,FIRMWARE_ONLY,,,PROMOTION,2024-01-01,2025-12-31,true
ENT-000208,PLAYER235,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000209,PLAYER370,FREE_REPLACEMENT,DS-STANDARD,0.00,WARRANTY,2024-01-01,2025-12-31,true
ENT-000210,PLAYER504,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000211,PLAYER180,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000212,PLAYER018,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000213,PLAYER881,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,PROMOTION,2024-01-01,2025-12-31,true
