External_Controller_ID__c,Name,SerialNumber,ProductCode,Player_ID__c,PurchaseDate,InstallDate,Warranty_Months__c,Warranty_Expiry_Date__c,Warranty_Status__c,Status
CTRL-0047,DualSense Edge Wireless Controller,ZCT1W-T4418574,DS-EDGE,PLAYER042,2021-05-25,2021-06-14,12,2022-05-25,OUT_OF_WARRANTY,Purchased
CTRL-0048,DualSense Wireless Controller,ZCT2E-W4231751,DS-STANDARD,PLAYER043,2023-11-14,2023-12-03,12,2024-11-13,IN_WARRANTY,Purchased
CTRL-0049,DualSense Wireless Controller,ZCT1W-P3575158,DS-STANDARD,PLAYER044,2023-06-08,2023-06-20,12,2024-06-07,OUT_OF_WARRANTY,Purchased
CTRL-0050,DualSense Limited Edition Controller,ZCT1W-V5152322,DS-LIMITED,PLAYER045,2021-09-13,2021-09-30,12,2022-09-13,OUT_OF_WARRANTY,Purchased
CTRL-0051,DualSense Limited Edition Controller,ZCT1W-X7824657,DS-LIMITED,PLAYER046,2021-07-02,2021-07-13,12,2022-07-02,OUT_OF_WARRANTY,Purchased
CTRL-0052,DualSense Wireless Controller,ZCT2E-J3455003,DS-STANDARD,PLAYER047,2022-04-08,2022-04-16,12,2023-04-08,OUT_OF_WARRANTY,Purchased
CTRL-0053,DualSense Wireless Controller,ZCT1W-D7327627,DS-STANDARD,PLAYER048,2022-04-01,2022-04-13,12,2023-04-01,OUT_OF_WARRANTY,Purchased
CTRL-0054,DualSense Wireless Controller,ZCT1W-D3948283,DS-STANDARD,PLAYER049,2022-09-20,2022-10-08,12,2023-09-20,OUT_OF_WARRANTY,Purchased
CTRL-0055,DualSense Wireless Controller,ZCT2E-D9874478,DS-STANDARD,PLAYER050,2022-08-01,2022-08-18,12,2023-08-01,OUT_OF_WARRANTY,Purchased
CTRL-0056,DualSense Wireless Controller,ZCT2E-V2662054,DS-STANDARD,PLAYER051,2021-12-16,2021-12-26,12,2022-12-16,OUT_OF_WARRANTY,Purchased
CTRL-0057,DualSense Wireless Controller,ZCT2E-F6791040,DS-STANDARD,PLAYER051,2023-12-25,2024-01-11,12,2024-12-24,IN_WARRANTY,Purchased
CTRL-0058,DualSense Wireless Controller,ZCT2E-R3140306,DS-STANDARD,PLAYER052,2023-11-18,2023-12-10,12,2024-11-17,IN_WARRANTY,Purchased
CTRL-0059,DualSense Wireless Controller,ZCT1W-X3120109,DS-STANDARD,PLAYER053,2022-07-02,2022-07-03,12,2023-07-02,OUT_OF_WARRANTY,Purchased
CTRL-0060,DualSense Wireless Controller,ZCT2E-H8016965,DS-STANDARD,PLAYER054,2022-01-10,2022-01-24,12,2023-01-10,OUT_OF_WARRANTY,Purchased
CTRL-0061,DualSense Wireless Controller,ZCT2E-Q9426008,DS-STANDARD,PLAYER055,2023-05-27,2023-06-12,12,2024-05-26,OUT_OF_WARRANTY,Purchased
CTRL-0062,DualSense Wireless Controller,ZCT1W-K2458649,DS-STANDARD,PLAYER056,2023-04-13,2023-05-07,12,2024-04-12,OUT_OF_WARRANTY,Purchased
CTRL-0063,DualSense Limited Edition Controller,ZCT2E-C2333367,DS-LIMITED,PLAYER057,2022-05-07,2022-06-06,12,2023-05-07,OUT_OF_WARRANTY,Purchased
CTRL-0064,DualSense Wireless Controller,ZCT1W-F1963205,DS-STANDARD,PLAYER058,2022-08-09,2022-08-26,12,2023-08-09,OUT_OF_WARRANTY,Purchased
CTRL-0065,DualSense Wireless Controller,ZCT2E-A8113264,DS-STANDARD,PLAYER059,2021-10-07,2021-10-22,12,2022-10-07,OUT_OF_WARRANTY,Purchased
CTRL-0066,DualSense Edge Wireless Controller,ZCT2E-S9932346,DS-EDGE,PLAYER060,2021-09-13,2021-09-25,12,2022-09-13,OUT_OF_WARRANTY,Purchased
CTRL-0067,DualSense Wireless Controller,ZCT1W-V4190758,DS-STANDARD,PLAYER061,2021-01-15,2021-02-06,12,2022-01-15,OUT_OF_WARRANTY,Purchased
CTRL-0068,DualSense Wireless Controller,ZCT2E-T6789156,DS-STANDARD,PLAYER062,2023-12-18,2024-01-08,12,2024-12-17,IN_WARRANTY,Purchased
CTRL-0069,DualSense Wireless Controller,ZCT1W-V8527132,DS-STANDARD,PLAYER063,2023-12-09,2024-01-06,12,2024-12-08,IN_WARRANTY,Purchased
CTRL-0070,DualSense Edge Wireless Controller,ZCT1W-F2260344,DS-EDGE,PLAYER064,2023-01-22,2023-02-17,12,2024-01-22,OUT_OF_WARRANTY,Purchased
CTRL-0071,DualSense Wireless Controller,ZCT1W-S6927248,DS-STANDARD,PLAYER065,2023-05-16,2023-05-31,12,2024-05-15,OUT_OF_WARRANTY,Purchased
CTRL-0072,DualSense Wireless Controller,ZCT2E-F7262661,DS-STANDARD,PLAYER066,2022-11-24,2022-12-23,12,2023-11-24,OUT_OF_WARRANTY,Purchased
CTRL-0073,DualSense Wireless Controller,ZCT1W-T2977453,DS-STANDARD,PLAYER067,2023-09-17,2023-09-26,12,2024-09-16,IN_WARRANTY,Purchased
CTRL-0074,DualSense Wireless Controller,ZCT2E-G1037485,DS-STANDARD,PLAYER068,2023-03-18,2023-03-24,12,2024-03-17,OUT_OF_WARRANTY,Purchased
CTRL-0075,DualSense Wireless Controller,ZCT2E-W9649141,DS-STANDARD,PLAYER069,2021-03-14,2021-04-12,12,2022-03-14,OUT_OF_WARRANTY,Purchased
CTRL-0076,DualSense Limited Edition Controller,ZCT2E-V9191751,DS-LIMITED,PLAYER070,2021-01-13,2021-02-01,12,2022-01-13,OUT_OF_WARRANTY,Purchased
CTRL-0077,DualSense Wireless Controller,ZCT2E-L6005493,DS-STANDARD,PLAYER071,2021-01-11,2021-01-22,12,2022-01-11,OUT_OF_WARRANTY,Purchased
CTRL-0078,DualSense Limited Edition Controller,ZCT1W-N6948065,DS-LIMITED,PLAYER071,2023-06-02,2023-06-17,12,2024-06-01,OUT_OF_WARRANTY,Purchased
CTRL-0079,DualSense Wireless Controller,ZCT1W-C9876767,DS-STANDARD,PLAYER072,2021-11-11,2021-11-24,12,2022-11-11,OUT_OF_WARRANTY,Purchased
CTRL-0080,DualSense Wireless Controller,ZCT1W-R1115938,DS-STANDARD,PLAYER073,2022-05-28,2022-06-04,12,2023-05-28,OUT_OF_WARRANTY,Purchased
CTRL-0081,DualSense Edge Wireless Controller,ZCT2E-N7279870,DS-EDGE,PLAYER074,2022-09-05,2022-09-16,12,2023-09-05,OUT_OF_WARRANTY,Purchased
CTRL-0082,DualSense Wireless Controller,ZCT2E-F9999758,DS-STANDARD,PLAYER075,2021-08-11,2021-08-25,12,2022-08-11,OUT_OF_WARRANTY,Purchased
CTRL-0083,DualSense Wireless Controller,ZCT2E-F3346703,DS-STANDARD,PLAYER076,2023-06-08,2023-06-08,12,2024-06-07,OUT_OF_WARRANTY,Purchased
CTRL-0084,DualSense Edge Wireless Controller,ZCT2E-G2856661,DS-EDGE,PLAYER077,2022-01-24,2022-02-02,12,2023-01-24,OUT_OF_WARRANTY,Purchased
CTRL-0085,DualSense Edge Wireless Controller,ZCT1W-E7619383,DS-EDGE,PLAYER078,2023-05-13,2023-06-05,12,2024-05-12,OUT_OF_WARRANTY,Purchased
CTRL-0086,DualSense Wireless Controller,ZCT2E-B3689597,DS-STANDARD,PLAYER079,2023-09-09,2023-10-09,12,2024-09-08,IN_WARRANTY,Purchased
CTRL-0087,DualSense Wireless Controller,ZCT2E-D8064807,DS-STANDARD,PLAYER080,2023-10-12,2023-11-06,12,2024-10-11,IN_WARRANTY,Purchased
CTRL-0088,DualSense Wireless Controller,ZCT1W-L7708806,DS-STANDARD,PLAYER081,2023-03-08,2023-03-12,12,2024-03-07,OUT_OF_WARRANTY,Purchased
CTRL-0089,DualSense Wireless Controller,ZCT1W-D1354875,DS-STANDARD,PLAYER082,2022-12-06,2022-12-22,12,2023-12-06,OUT_OF_WARRANTY,Purchased
CTRL-0090,DualSense Limited Edition Controller,ZCT1W-X4967894,DS-LIMITED,PLAYER083,2022-12-02,2022-12-15,12,2023-12-02,OUT_OF_WARRANTY,Purchased
CTRL-0091,DualSense Wireless Controller,ZCT1W-P9056301,DS-STANDARD,PLAYER084,2023-09-23,2023-09-25,12,2024-09-22,IN_WARRANTY,Purchased
CTRL-0092,DualSense Wireless Controller,ZCT2E-H3558453,DS-STANDARD,PLAYER085,2022-01-18,2022-01-25,12,2023-01-18,OUT_OF_WARRANTY,Purchased
CTRL-0093,DualSense Wireless Controller,ZCT2E-D5421311,DS-STANDARD,PLAYER086,2022-05-22,2022-06-12,12,2023-05-22,OUT_OF_WARRANTY,Purchased
CTRL-0094,DualSense Wireless Controller,ZCT2E-G8950602,DS-STANDARD,PLAYER087,2021-07-31,2021-08-22,12,2022-07-31,OUT_OF_WARRANTY,Purchased
CTRL-0095,DualSense Wireless Controller,ZCT1W-G3495209,DS-STANDARD,PLAYER088,2021-09-28,2021-10-10,12,2022-09-28,OUT_OF_WARRANTY,Purchased
CTRL-0096,DualSense Wireless Controller,ZCT1W-J4224201,DS-STANDARD,PLAYER088,2023-05-24,2023-05-24,12,2024-05-23,OUT_OF_WARRANTY,Purchased
CTRL-0097,DualSense Wireless Controller,ZCT1W-C1854889,DS-STANDARD,PLAYER089,2023-12-12,2023-12-21,12,2024-12-11,IN_WARRANTY,Purchased
CTRL-0098,DualSense Edge Wireless Controller,ZCT1W-H6640128,DS-EDGE,PLAYER090,2023-05-23,2023-06-07,12,2024-05-22,OUT_OF_WARRANTY,Purchased
CTRL-0099,DualSense Wireless Controller,ZCT1W-S8165093,DS-STANDARD,PLAYER091,2022-09-16,2022-09-19,12,2023-09-16,OUT_OF_WARRANTY,Purchased
CTRL-0100,DualSense Edge Wireless Controller,ZCT2E-M5706947,DS-EDGE,PLAYER092,2022-12-20,2023-01-11,12,2023-12-20,OUT_OF_WARRANTY,Purchased
CTRL-0101,DualSense Wireless Controller,ZCT2E-H6366039,DS-STANDARD,PLAYER093,2022-01-08,2022-01-09,12,2023-01-08,OUT_OF_WARRANTY,Purchased
CTRL-0102,DualSense Wireless Controller,ZCT1W-B6396217,DS-STANDARD,PLAYER094,2023-08-25,2023-09-02,12,2024-08-24,IN_WARRANTY,Purchased
CTRL-0103,DualSense Wireless Controller,ZCT1W-P4101100,DS-STANDARD,PLAYER094,2023-10-04,2023-10-15,12,2024-10-03,IN_WARRANTY,Purchased
CTRL-0104,DualSense Wireless Controller,ZCT2E-K2871139,DS-STANDARD,PLAYER095,2021-01-28,2021-02-18,12,2022-01-28,OUT_OF_WARRANTY,Purchased
CTRL-0105,DualSense Wireless Controller,ZCT1W-L7049339,DS-STANDARD,PLAYER096,2023-01-11,2023-02-03,12,2024-01-11,OUT_OF_WARRANTY,Purchased
CTRL-0106,DualSense Wireless Controller,ZCT2E-H5629621,DS-STANDARD,PLAYER096,2023-02-26,2023-02-28,12,2024-02-26,OUT_OF_WARRANTY,Purchased
CTRL-0107,DualSense Limited Edition Controller,ZCT1W-E3019210,DS-LIMITED,PLAYER097,2022-01-26,2022-02-01,12,2023-01-26,OUT_OF_WARRANTY,Purchased
CTRL-0108,DualSense Wireless Controller,ZCT2E-D2256271,DS-STANDARD,PLAYER097,2022-12-04,2022-12-13,12,2023-12-04,OUT_OF_WARRANTY,Purchased
CTRL-0109,DualSense Edge Wireless Controller,ZCT2E-G9951610,DS-EDGE,PLAYER098,2021-11-11,2021-11-12,12,2022-11-11,OUT_OF_WARRANTY,Purchased
CTRL-0110,DualSense Wireless Controller,ZCT1W-G8016442,DS-STANDARD,PLAYER099,2022-06-02,2022-06-30,12,2023-06-02,OUT_OF_WARRANTY,Purchased
CTRL-0111,DualSense Wireless Controller,ZCT2E-M8524283,DS-STANDARD,PLAYER100,2021-08-29,2021-09-27,12,2022-08-29,OUT_OF_WARRANTY,Purchased
CTRL-0112,DualSense Wireless Controller,ZCT2E-C9100385,DS-STANDARD,PLAYER101,2023-10-29,2023-11-23,12,2024-10-28,IN_WARRANTY,Purchased
CTRL-0113,DualSense Wireless Controller,ZCT1W-F5599450,DS-STANDARD,PLAYER102,2021-09-22,2021-10-01,12,2022-09-22,OUT_OF_WARRANTY,Purchased
CTRL-0114,DualSense Wireless Controller,ZCT1W-U2019943,DS-STANDARD,PLAYER103,2022-01-25,2022-02-17,12,2023-01-25,OUT_OF_WARRANTY,Purchased
CTRL-0115,DualSense Wireless Controller,ZCT2E-R9933361,DS-STANDARD,PLAYER104,2021-06-03,2021-06-08,12,2022-06-03,OUT_OF_WARRANTY,Purchased
CTRL-0116,DualSense Wireless Controller,ZCT2E-S7444974,DS-STANDARD,PLAYER105,2023-03-11,2023-03-23,12,2024-03-10,OUT_OF_WARRANTY,Purchased
CTRL-0117,DualSense Limited Edition Controller,ZCT2E-G4088120,DS-LIMITED,PLAYER106,2022-03-23,2022-04-10,12,2023-03-23,OUT_OF_WARRANTY,Purchased
CTRL-0118,DualSense Wireless Controller,ZCT1W-S8641031,DS-STANDARD,PLAYER107,2023-12-12,2023-12-20,12,2024-12-11,IN_WARRANTY,Purchased
CTRL-0119,DualSense Wireless Controller,ZCT2E-H5972157,DS-STANDARD,PLAYER107,2021-09-01,2021-09-06,12,2022-09-01,OUT_OF_WARRANTY,Purchased
CTRL-0120,DualSense Wireless Controller,ZCT1W-B9951748,DS-STANDARD,PLAYER108,2021-03-22,2021-04-11,12,2022-03-22,OUT_OF_WARRANTY,Purchased
CTRL-0121,DualSense Wireless Controller,ZCT1W-J3230889,DS-STANDARD,PLAYER109,2021-04-16,2021-05-06,12,2022-04-16,OUT_OF_WARRANTY,Purchased
CTRL-0122,DualSense Wireless Controller,ZCT1W-G9969014,DS-STANDARD,PLAYER110,2022-12-13,2023-01-02,12,2023-12-13,OUT_OF_WARRANTY,Purchased
CTRL-0123,DualSense Edge Wireless Controller,ZCT2E-L2396638,DS-EDGE,PLAYER111,2022-06-25,2022-07-18,12,2023-06-25,OUT_OF_WARRANTY,Purchased
CTRL-0124,DualSense Wireless Controller,ZCT1W-P5947522,DS-STANDARD,PLAYER112,2021-04-28,2021-05-18,12,2022-04-28,OUT_OF_WARRANTY,Purchased
CTRL-0125,DualSense Wireless Controller,ZCT1W-M4678901,DS-STANDARD,PLAYER113,2022-07-27,2022-08-01,12,2023-07-27,OUT_OF_WARRANTY,Purchased
CTRL-0126,DualSense Wireless Controller,ZCT2E-A2785812,DS-STANDARD,PLAYER113,2023-02-22,2023-03-24,12,2024-02-22,OUT_OF_WARRANTY,Purchased
CTRL-0127,DualSense Wireless Controller,ZCT2E-W4458774,DS-STANDARD,PLAYER114,2022-03-28,2022-04-07,12,2023-03-28,OUT_OF_WARRANTY,Purchased
CTRL-0128,DualSense Wireless Controller,ZCT2E-G7634775,DS-STANDARD,PLAYER115,2022-04-20,2022-05-13,12,2023-04-20,OUT_OF_WARRANTY,Purchased
CTRL-0129,DualSense Wireless Controller,ZCT2E-M3488634,DS-STANDARD,PLAYER116,2021-07-11,2021-07-26,12,2022-07-11,OUT_OF_WARRANTY,Purchased
CTRL-0130,DualSense Wireless Controller,ZCT1W-Q4104255,DS-STANDARD,PLAYER117,2021-12-27,2022-01-02,12,2022-12-27,OUT_OF_WARRANTY,Purchased
CTRL-0131,DualSense Limited Edition Controller,ZCT2E-F5731917,DS-LIMITED,PLAYER118,2021-11-30,2021-12-28,12,2022-11-30,OUT_OF_WARRANTY,Purchased
CTRL-0132,DualSense Limited Edition Controller,ZCT1W-N4151566,DS-LIMITED,PLAYER119,2021-05-28,2021-06-10,12,2022-05-28,OUT_OF_WARRANTY,Purchased
CTRL-0133,DualSense Wireless Controller,ZCT1W-Q7752901,DS-STANDARD,PLAYER120,2023-12-15,2023-12-19,12,2024-12-14,IN_WARRANTY,Purchased
CTRL-0134,DualSense Wireless Controller,ZCT1W-V2673190,DS-STANDARD,PLAYER121,2021-02-12,2021-02-15,12,2022-02-12,OUT_OF_WARRANTY,Purchased
CTRL-0135,DualSense Wireless Controller,ZCT1W-W1733836,DS-STANDARD,PLAYER122,2021-06-21,2021-06-29,12,2022-06-21,OUT_OF_WARRANTY,Purchased
CTRL-0136,DualSense Wireless Controller,ZCT1W-W1226440,DS-STANDARD,PLAYER123,2021-01-20,2021-02-19,12,2022-01-20,OUT_OF_WARRANTY,Purchased
CTRL-0137,DualSense Wireless Controller,ZCT1W-T6677240,DS-STANDARD,PLAYER123,2021-06-24,2021-06-30,12,2022-06-24,OUT_OF_WARRANTY,Purchased
CTRL-0138,DualSense Wireless Controller,ZCT1W-R8454556,DS-STANDARD,PLAYER124,2022-09-22,2022-10-02,12,2023-09-22,OUT_OF_WARRANTY,Purchased
CTRL-0139,DualSense Limited Edition Controller,ZCT2E-E5090433,DS-LIMITED,PLAYER125,2022-07-02,2022-07-22,12,2023-07-02,OUT_OF_WARRANTY,Purchased
CTRL-0140,DualSense Edge Wireless Controller,ZCT1W-A1747019,DS-EDGE,PLAYER126,2021-07-30,2021-08-16,12,2022-07-30,OUT_OF_WARRANTY,Purchased
CTRL-0141,DualSense Wireless Controller,ZCT2E-D9582257,DS-STANDARD,PLAYER127,2023-05-01,2023-05-05,12,2024-04-30,OUT_OF_WARRANTY,Purchased
CTRL-0142,DualSense Wireless Controller,ZCT1W-H1402667,DS-STANDARD,PLAYER128,2023-03-01,2023-03-05,12,2024-02-29,OUT_OF_WARRANTY,Purchased
CTRL-0143,DualSense Wireless Controller,ZCT2E-W5812480,DS-STANDARD,PLAYER129,2023-02-27,2023-03-20,12,2024-02-27,OUT_OF_WARRANTY,Purchased
CTRL-0144,DualSense Wireless Controller,ZCT1W-R3844728,DS-STANDARD,PLAYER130,2022-04-05,2022-04-08,12,2023-04-05,OUT_OF_WARRANTY,Purchased
CTRL-0145,DualSense Wireless Controller,ZCT2E-M2279932,DS-STANDARD,PLAYER130,2021-08-31,2021-09-11,12,2022-08-31,OUT_OF_WARRANTY,Purchased
CTRL-0146,DualSense Edge Wireless Controller,ZCT1W-B3535087,DS-EDGE,PLAYER131,2021-12-31,2022-01-13,12,2022-12-31,OUT_OF_WARRANTY,Purchased
CTRL-0147,DualSense Edge Wireless Controller,ZCT2E-V4042807,DS-EDGE,PLAYER131,2021-11-04,2021-12-02,12,2022-11-04,OUT_OF_WARRANTY,Purchased
CTRL-0148,DualSense Wireless Controller,ZCT2E-V5815154,DS-STANDARD,PLAYER132,2021-08-01,2021-08-09,12,2022-08-01,OUT_OF_WARRANTY,Purchased
CTRL-0149,DualSense Wireless Controller,ZCT2E-X7192680,DS-STANDARD,PLAYER133,2021-06-06,2021-07-01,12,2022-06-06,OUT_OF_WARRANTY,Purchased
CTRL-0150,DualSense Wireless Controller,ZCT1W-E3459356,DS-STANDARD,PLAYER134,2023-03-11,2023-03-25,12,2024-03-10,OUT_OF_WARRANTY,Purchased
CTRL-0151,DualSense Wireless Controller,ZCT2E-C2898577,DS-STANDARD,PLAYER135,2022-07-25,2022-07-29,12,2023-07-25,OUT_OF_WARRANTY,Purchased
CTRL-0152,DualSense Wireless Controller,ZCT1W-L3139694,DS-STANDARD,PLAYER135,2023-02-28,2023-03-11,12,2024-02-28,OUT_OF_WARRANTY,Purchased
CTRL-0153,DualSense Wireless Controller,ZCT2E-R8110722,DS-STANDARD,PLAYER136,2023-04-28,2023-05-17,12,2024-04-27,OUT_OF_WARRANTY,Purchased
CTRL-0154,DualSense Wireless Controller,ZCT2E-E5125653,DS-STANDARD,PLAYER137,2023-10-16,2023-11-02,12,2024-10-15,IN_WARRANTY,Purchased
